gene,NRI,rank_early,rank_late,delta_rank
AC004490.1,1,0.8926132124203638,0.9948344142799748,0.10222120185961092
AC004492.1,1,0.8877919990816736,0.901452103541296,0.013660104459622402
AC004494.1,1,0.8850370200309935,0.7763875337197956,-0.10864948631119786
AC004540.1,1,0.7929748034207657,0.7808643746771509,-0.012110428743614787
AC004584.3,1,0.8271250645698215,0.7366125236756013,-0.09051254089422023
AC004585.1,1,0.9880617574470527,0.920449979911611,-0.06761177753544168
AC004596.1,1,0.9335935257992309,0.8691958904895828,-0.06439763530964815
AC004687.1,1,0.9656775526602767,0.9998852092062217,0.03420765654594504
AC004706.3,1,0.6743959134477415,0.6580382253343282,-0.016357688113413316
AC004707.1,1,0.8944498651208173,0.977960167594559,0.0835103024737417
AC004771.3,1,0.7477472306721001,0.7484359754347701,6.887447626700016e-4
AC004771.4,1,0.9811169144234633,0.9314698961143316,-0.04964701830913165
AC004801.6,1,0.8637433277851116,0.8886529300350112,0.024909602249899576
AC004803.1,1,0.6785857774206508,0.6933937898180565,0.014808012397405701
AC004812.2,1,0.6482810078631693,0.6493141250071744,0.0010331171440051135
AC004816.1,0.9743589743589743,0.6955748148998451,0.7065947311025655,0.01101991620272047
AC004825.2,1,0.9120702519657924,0.9893818515755036,0.07731159960971123
AC004832.5,1,0.8578889973024163,0.8049130459737129,-0.05297595132870336
AC004834.1,1,0.8919244676576938,0.857774206508638,-0.03415026114905584
AC004837.4,1,0.7520518854387878,0.7856855880158411,0.03363370257705334
AC004846.2,1,0.9168914653044826,0.8233943637720255,-0.09349710153245716
AC004847.1,1,0.9179245824484876,0.9943752511048614,0.07645066865637373
AC004854.2,1,0.7367273144693796,0.7783389772140274,0.04161166274464789
AC004865.2,1,0.9741720713998737,0.9479423750215232,-0.026229696378350487
AC004870.2,1,0.710784595075475,0.6906962061642656,-0.020088388911209343
AC004877.1,1,0.8231073867875797,0.8766572920851747,0.05354990529759507
AC004889.1,1,0.6762325661481949,0.6568903173965448,-0.019342248751650137
AC004908.2,1,0.7276014463640016,0.782586236583826,0.054984790219824387
AC004908.3,1,0.8900304195603512,0.9523618205819894,0.062331401021638144
AC004918.1,0.9743589743589743,0.7073408712621247,0.7036101704643287,-0.003730700797796027
AC004918.4,1,0.7083165930092407,0.671870515984618,-0.03644607702462266
AC004938.2,1,0.8386041439476554,0.8703437984273661,0.03173965447971072
AC004943.1,1,0.9606267577340297,0.8628823968317741,-0.09774436090225558
AC004943.2,1,0.6702060494748321,0.6304310394306376,-0.03977501004419448
AC004951.1,1,0.6766343339264191,0.5477816679102336,-0.1288526660161855
AC004982.1,1,0.9166044883200367,0.9413419043792688,0.024737416059232076
AC004982.2,1,0.8188027320208919,0.7947540607243299,-0.024048671296562074
AC005005.3,1,0.7861447511909545,0.8085289559777306,0.022384204786776052
AC005005.4,1,0.8566262985708546,0.9833553349021409,0.1267290363312863
AC005034.3,1,0.6769787063077541,0.7698444584744304,0.09286575216667625
AC005034.5,1,0.8144980772542042,0.9164896975262584,0.10199162027205422
AC005037.1,1,0.84933708316593,0.9066750846582105,0.05733800149228041
AC005041.3,1,0.8214429202777938,0.7959593640590025,-0.02548355621879128
AC005041.5,0.9743589743589743,0.8932445617861448,0.9706709521896344,0.07742639040348964
AC005046.1,1,0.9694656488549618,0.9218274694369512,-0.04763817941801063
AC005052.2,1,0.9316420823049991,0.986110313952821,0.054468231647821885
AC005062.1,1,0.8285025540951616,0.7697870630775412,-0.058715491017620414
AC005070.3,1,0.8448602422085749,0.7913677323078689,-0.053492509900705976
AC005072.1,1,0.8999598232221776,0.7426964357458532,-0.1572633874763244
AC005076.1,1,0.8265511106009298,0.9208517476898352,0.09430063708890546
AC005082.1,0.9743589743589743,0.9405383688228204,0.983068357917695,0.0425299890948746
AC005083.1,1,0.6690581415370487,0.7248464673133215,0.055788325776272796
AC005091.1,1,0.9428341846983872,0.9940882741204156,0.05125408942202836
AC005224.2,1,0.9202203983240544,0.9266486827756414,0.006428284451586941
AC005224.3,1,0.7708775756184354,0.7707627848246571,-1.147907937782966e-4
AC005225.2,1,0.9249842162658555,0.8934741433737015,-0.03151007289215402
AC005229.4,1,0.7300694484302359,0.7708775756184354,0.04080812718819948
AC005256.1,1,0.7614647305286116,0.765998966882856,0.004534236354244325
AC005261.1,1,0.3053435114503817,0.27773632554669114,-0.027607185903690545
AC005261.3,1,0.7761005567353498,0.7893014980198588,0.013200941284508994
AC005262.2,0.9743589743589743,0.8536417379326178,0.799173506284796,-0.054468231647821774
AC005280.1,1,0.963783504562934,0.8884233484474545,-0.07536015611547953
AC005288.1,0.9743589743589743,0.8979509843310567,0.8845778568558802,-0.013373127475176494
AC005306.1,0.9743589743589743,0.8388337255352121,0.7491247201974401,-0.08970900533777193
AC005329.1,1,0.8803305974860817,0.8159329621764334,-0.06439763530964826
AC005332.1,1,0.7214027434999714,0.7829880043620502,0.06158526086207883
AC005332.2,1,0.925500774837858,0.9132181599035757,-0.012282614934282288
AC005332.3,0.9473684210526316,0.7389657349480572,0.749756069563221,0.010790334615163877
AC005332.4,0.9743589743589743,0.7235263731848706,0.6842105263157895,-0.03931584686908107
AC005332.5,1,0.6346782988004362,0.6092521379785342,-0.025426160821902077
AC005332.6,1,0.32026631464156574,0.38328646042587383,0.06302014578430809
AC005339.1,1,0.9860529185559318,0.9709005337771911,-0.015152384778740702
AC005393.1,1,0.8077254204212823,0.8782069678011823,0.07048154737990009
AC005476.2,0.9743589743589743,0.9019686621132985,0.8999024278252884,-0.002066234288010116
AC005479.1,1,0.9842162658554784,0.8868162773345578,-0.09739998852092058
AC005487.1,1,0.941399299776158,0.9987946966653274,0.05739539688916939
AC005519.1,1,0.7949262469149975,0.7230098146128681,-0.07191643230212941
AC005520.2,1,0.8660391436606785,0.8295356712391666,-0.03650347242151186
AC005520.3,1,0.9875451988750502,0.906215921483097,-0.08132927739195317
AC005520.5,1,0.95023819089709,0.9798542156919016,0.029616024794811513
AC005523.2,1,0.9139643000631349,0.9653331802789417,0.05136888021580677
AC005532.1,1,0.8589221144464214,0.8755093841473914,0.01658726970097002
AC005534.1,1,0.7444182976525283,0.7075130574527922,-0.03690524019973607
AC005540.1,1,0.8253458072662573,0.8316593009240659,0.006313493657808644
AC005546.1,0.9473684210526316,0.9806003558514607,0.9426046031108305,-0.03799575274063016
