gene,cluster,module_membership,lfc_sur,pc_loading,NRI,rank_early,rank_late,delta_rank
ALPK3,M7,0.14844104162369032,0.5961210152354282,0.008411573114185772,0.9743589743589743,0.6525282672329679,0.623084428628824,-0.0294438386041439
ALPP,M4,0.9228665559211869,0.056257678518457865,0.001437334160444367,1,0.5224129024852207,0.5309648166217069,0.00855191413648626
ALS2,M1,0.5549893154001058,0.4358975568234431,0.007498415979945577,1,0.356253228491075,0.2859438673018424,-0.07030936118923259
ALS2CL,M1,0.25712203056319405,1.2889771639448124,0.017634598071357428,1,0.07932043850083223,0.017505596051196694,-0.06181484244963553
ALYREF,M2,0.41089518261239444,-0.6113402420698328,-0.009167686269901162,1,0.2411754577282902,0.34230614704700685,0.10113068931871666
AMACR,M2,0.8821004786629557,-0.4243824469604043,-0.006581369807495332,1,0.4162888136371463,0.48843482752683237,0.07214601388968606
AMBRA1,M1,0.529266864105449,1.0734451035666517,0.019010437842641035,1,0.39378981805659186,0.21861906675084658,-0.17517075130574528
AMD1,M5,0.8404223619084541,-0.7463224374258584,-0.006850474440746108,1,0.05860070022384205,0.10061413074671412,0.04201343052287207
AMDHD1,M3,0.6480362653791236,0.02643031920123562,-0.0017904781313369793,1,0.9230327727716238,0.9337083165930092,0.01067554382138547
AMDHD2,M1,0.4628858728357308,0.7388295661073947,0.011829152729396991,1,0.5418699420306491,0.4626068989267061,-0.079263043103943
AMER1,M1,0.5671812783177711,0.5330666227838066,0.009397534604737317,0.9743589743589743,0.3951673075819319,0.31165700510819033,-0.08351030247374158
AMFR,M5,0.884218296912615,-0.503193033346669,-0.00809563602009525,1,0.07897606611949722,0.10968260345520289,0.030706537335705678
AMH,M1,0.4569213518283042,0.7536045092301613,0.008626581963630978,1,0.535728634563508,0.4523331228835447,-0.08339551167996334
AMIGO1,M3,0.4497901902958177,0.022672283872191556,0.0018983875998120764,1,0.8018136945416977,0.8177696148768868,0.01595592033518911
AMIGO2,M4,0.48679236483456645,0.06637105978641511,9.731299872671168e-4,1,0.6436319807151466,0.6518395224702979,0.00820754175515126
AMIGO3,M7,0.605246623490852,0.34061402833969723,0.004535129183767628,1,0.7677208287895311,0.7455088101934225,-0.02221201859610855
AMMECR1,M2,0.3574358358650668,-0.5820807392528877,-0.0070465678742743735,1,0.22636744533088446,0.32118464099179245,0.09481719566090799
AMMECR1-IT1,M3,0.6688462552590471,-0.007145708472533485,-9.357577002347802e-4,1,0.9301498019858807,0.9494346553406416,0.019284853354760934
AMMECR1L,M6,0.35725837938339666,0.28741903634018406,0.003546564685216508,1,0.2994891809676864,0.24966997646788727,-0.049819204499799125
AMN,M7,0.017503207858074465,0.11657593775146946,0.0030734118713934564,1,0.8119152843941916,0.81340756471331,0.0014922803191184109
AMN1,M3,0.03907564924853679,-0.06692090798903738,-0.003607183755404411,1,0.653217011995638,0.6738793548757389,0.020662342880100937
AMOT,M4,0.13386636132316576,0.004292543513419567,-0.002854231702534607,0.9473684210526316,0.6016759455891637,0.6145899098892269,0.012913964300063197
AMOTL1,M6,0.2385868649620987,0.31151353449349983,0.007497486761538484,1,0.14830970556161396,0.09717040693336394,-0.05113929862825002
AMOTL2,M6,0.5795565582193762,0.16553138284422353,-0.0019206475703250668,1,0.12523675601216783,0.09240658899156287,-0.032830167020604956
AMPD2,M6,0.32244857123531057,0.29403611649662764,0.004911637471593736,1,0.24794811456121219,0.19520174482006544,-0.05274636974114674
AMPD3,M4,0.889227280887089,0.13615228331624785,8.213208203918926e-4,1,0.5591459564942891,0.5607530276071859,0.0016070711128968185
AMT,M7,0.6236999721567473,0.8071901370231753,0.010404750022536062,1,0.7692705045055387,0.7087183607874649,-0.060552143718073825
AMTN,M3,0.7268047534245046,-0.10201127678830701,-0.00264717718212842,1,0.9369224588188028,0.9775010044194455,0.04057854560064278
AMY1C,M3,0.5612294623801024,-0.32286053404734716,-0.004894141174338347,1,0.850657177294381,0.9406531596165988,0.08999598232221784
AMY2B,M4,0.4654049271518558,0.28354516032276766,0.002047581449693698,1,0.6540205475520863,0.6484531940538368,-0.005567353498249439
AMZ2,M5,0.12377154701656745,-0.35222090850338006,-0.007117138234964167,1,0.23107386787579637,0.2858864719049532,0.05481260402915683
ANAPC1,M6,0.2991525049834042,0.3664956276677369,0.0078276674087912,1,0.11565172473167652,0.07019457039545428,-0.045457154336222244
ANAPC10,M4,0.675393818594842,0.1486106577283941,0.0032744425855637024,1,0.6027664581300579,0.6050048786087355,0.0022384204786776163
ANAPC11,M2,0.442380672462362,-0.7115935833669695,-0.011807694675356528,1,0.290879871434311,0.4138782069678012,0.12299833553349021
ANAPC13,M2,0.6827468691476977,-0.483935454633011,-0.008633488356006821,1,0.3034494633530391,0.3869023704298915,0.08345290707685243
ANAPC15,M2,0.6434863622671195,-0.6931787246003225,-0.010832585398482952,1,0.4348849222292372,0.5400906847270849,0.10520576249784769
ANAPC16,M5,0.4688347407507848,-0.7181030824847756,-0.011813634525961281,1,0.10078631693738162,0.17580210067152616,0.07501578373414454
ANAPC2,M6,0.4085608103281827,0.248080208193306,0.005003217544225934,1,0.26459277965907135,0.22171841818286173,-0.04287436147620963
ANAPC4,M1,0.47080887106006664,0.41045847989382445,0.007293117240415279,1,0.3929862825001435,0.3300809275096137,-0.0629053549905298
ANAPC5,M6,0.5003670530181481,0.057825925660701216,0.0016155076797165259,0.9743589743589743,0.09028295930666361,0.07271996785857775,-0.01756299144808586
ANAPC7,M6,0.23162764046285356,0.31063013540260265,0.00572248119379719,1,0.23520633645181657,0.1807955002008839,-0.05441083625093268
ANG,M3,0.38649226278060633,-0.30070298510750604,-0.006514607377502853,1,0.6847844802846812,0.7246168857257648,0.039832405441083574
ANGEL1,M6,0.6372746506549345,0.1227104699282684,0.0013983139227800683,1,0.2769327899902428,0.25552430695058254,-0.021408483039660253
ANGEL2,M4,0.12652613311834637,-0.05608469852749565,3.8278928344572715e-4,0.9743589743589743,0.35292429547150317,0.36939677437869484,0.016472478907191668
ANGPT1,M4,0.47587772971789266,-0.2607442686900603,-2.611037437312857e-4,1,0.5674682890432188,0.6038569706709522,0.036388681627733455
ANGPTL4,M2,0.059929694321142035,-0.18322669552895832,-0.005553531885863974,0.9743589743589743,0.5466911553693394,0.5814153704872869,0.03472421511794743
ANGPTL6,M3,0.36713559884505964,0.08859985700653894,3.156367771689937e-4,1,0.9098318314871148,0.9072490386271022,-0.002582792860012617
ANK1,M7,0.5279674135057804,0.7124003117420807,0.005297066193033127,1,0.9227457957871779,0.8075532342306148,-0.1151925615565631
ANK2,M7,0.05710588095887548,0.33382290929679215,0.008695372739614618,1,0.6425988635711416,0.6300292716524135,-0.012569591918728085
ANK3,M1,0.15646466608082676,0.3851225862800458,0.007140360040298889,1,0.2264822361246628,0.16001836652700455,-0.06646386959765826
ANKAR,M7,0.21703862412214614,0.5083779029850577,0.0067136132500217275,1,0.6721000975721747,0.649199334213396,-0.022900763358778664
ANKDD1A,M3,0.7662817141488254,-0.1923743469378536,-0.002157586654443647,1,0.8550766228548471,0.9151696033978075,0.06009298054296042
ANKDD1B,M7,0.6831002712328413,0.362373935445258,0.00504469076457985,1,0.9350858061183493,0.8714343109682603,-0.06365149515008905
ANKEF1,M2,0.769892491495539,-0.5083443324686243,-0.007887225791768112,1,0.3292199965562762,0.42053607300694484,0.09131607645066864
ANKFY1,M6,0.8127453112143197,0.05712087273814781,0.0024563973884335058,1,0.122252195373931,0.10078631693738162,-0.021465878436549388
ANKH,M6,0.2816871488871455,-0.11487390007056142,-8.961565027323123e-4,1,0.2815244217413763,0.30103885668369396,0.019514434942317638
ANKHD1,M1,0.32528681721631425,0.9392794253152523,0.015814518184152374,1,0.10899385869253286,0.03587212305573093,-0.07312173563680194
ANKIB1,M6,0.8442561145926735,0.1121195233308665,0.0021589017032388434,1,0.15226998794696664,0.12362968489927108,-0.02864030304769556
ANKK1,M7,0.7776435311182852,0.3780038804252346,0.0039590321098427386,1,0.8454915915743557,0.8066349078803879,-0.038856683693967775
ANKLE1,M7,0.32704959621770835,0.6837978501579842,0.011077967377119538,1,0.6650978591516961,0.6289387591115193,-0.03615910004017675
ANKLE2,M6,0.16644891865181488,0.5070145744876573,0.008936436329610142,1,0.1036560867818401,0.05349250990070596,-0.05016357688113414
ANKMY1,M1,0.5110641881209346,1.160891898197523,0.0181426234692165,1,0.4996269299202204,0.33381162830740974,-0.16581530161281066
ANKMY2,M4,0.6562404982354064,0.2875416443598935,0.0038964507743203067,1,0.5829076508064053,0.5711415944441256,-0.011766056362279675
ANKRA2,M4,0.4497523015975371,0.3983282740123961,0.0015845938235878613,1,0.478161051483671,0.43522929461057225,-0.04293175687309875
ANKRD10,M6,0.9096854003318194,0.08539964829196123,0.001002494037892463,1,0.17442461114618607,0.1508351030247374,-0.023589508121448666
ANKRD10-IT1,M3,0.024976155133163647,-0.02232133976184869,-0.0023505836422712677,1,0.6705504218561671,0.685760202031797,0.015209780175629906
ANKRD11,M1,0.39617106806200286,0.9453642531345867,0.01580381124362583,1,0.12845089823796133,0.04281696607932044,-0.08563393215864089
