Cluster,Description,score,FDR,Count
M3,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,2.7393632353719932e-8,0.9999999369238325,4
M3,HALLMARK_MITOTIC_SPINDLE,2.7393632353719932e-8,0.9999999369238325,3
M3,HALLMARK_PEROXISOME,2.7393632353719932e-8,0.9999999369238325,3
M3,HALLMARK_TGF_BETA_SIGNALING,2.7393632353719932e-8,0.9999999369238325,3
M3,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,2.7393632353719932e-8,0.9999999369238325,3
M3,REACTOME_CELL_CYCLE_CHECKPOINTS,2.7393632353719932e-8,0.9999999369238325,3
M3,REACTOME_GLUCOSE_METABOLISM,2.7393632353719932e-8,0.9999999369238325,3
M3,WP_CELL_CYCLE,2.7393632353719932e-8,0.9999999369238325,3
M3,GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,2.7393632353719932e-8,0.9999999369238325,2
M3,HALLMARK_CHOLESTEROL_HOMEOSTASIS,2.7393632353719932e-8,0.9999999369238325,2
M3,HALLMARK_DNA_REPAIR,2.7393632353719932e-8,0.9999999369238325,2
M3,HALLMARK_G2M_CHECKPOINT,2.7393632353719932e-8,0.9999999369238325,2
M3,HALLMARK_HEDGEHOG_SIGNALING,2.7393632353719932e-8,0.9999999369238325,2
M3,HALLMARK_PROTEIN_SECRETION,2.7393632353719932e-8,0.9999999369238325,2
M3,HALLMARK_WNT_BETA_CATENIN_SIGNALING,2.7393632353719932e-8,0.9999999369238325,2
M3,PID_MYC_ACTIV_PATHWAY,2.7393632353719932e-8,0.9999999369238325,2
M3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.7393632353719932e-8,0.9999999369238325,1
M3,HALLMARK_PI3K_AKT_MTOR_SIGNALING,2.7393632353719932e-8,0.9999999369238325,1
M3,REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,2.7393632353719932e-8,0.9999999369238325,1
M3,REACTOME_MRNA_SPLICING,2.7393632353719932e-8,0.9999999369238325,1
M3,WP_APOPTOSIS_MODULATION_AND_SIGNALING,2.7393632353719932e-8,0.9999999369238325,1
M3,WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,2.7393632353719932e-8,0.9999999369238325,1
M3,WP_PROTEASOME_DEGRADATION,2.7393632353719932e-8,0.9999999369238325,1
M3,WP_PYRIMIDINE_METABOLISM,2.7393632353719932e-8,0.9999999369238325,1
M4,REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,5.299933990501296,5.012634161111558e-6,19
M4,WP_DNA_REPLICATION,5.2440853765738815,5.700521965126554e-6,20
M4,REACTOME_CELL_CYCLE_CHECKPOINTS,1.7892404934099284,0.0162464884668308,52
M4,WP_PYRIMIDINE_METABOLISM,1.033389888167787,0.09259981346527307,19
M4,WP_APOPTOSIS,0.8709678952315356,0.1345959849062137,19
M4,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.8408886735554956,0.14424850687561816,21
M4,WP_APOPTOSIS_MODULATION_AND_SIGNALING,0.8408886735554956,0.14424850687561816,19
M4,HALLMARK_E2F_TARGETS,0.706719017345508,0.1964630955385673,38
M4,GOBP_MITOCHONDRIAL_GENE_EXPRESSION,0.5398485277172074,0.2885037564783914,32
M4,WP_CELL_CYCLE,0.49425791199060964,0.3204365800875116,23
M4,GOMF_RNA_ENDONUCLEASE_ACTIVITY,0.3580218715783811,0.4385086134119173,14
M4,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.2248464988033839,0.5958727172671758,29
M4,HALLMARK_DNA_REPAIR,0.2248464988033839,0.5958727172671758,26
M4,GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,0.2248464988033839,0.5958727172671758,18
M4,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.11253675618925976,0.7717261983503371,7
