gene,loading,comp,comp_time_cor,axis_mode,axis_polarity
AC002310.2,0.005536805496999868,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC002378.1,-0.0077841558871106845,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC002401.4,-0.0047149830126206405,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC002451.1,0.0026393331953420535,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC002456.1,-0.00806833487583425,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC002467.1,-0.004180569678335834,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC002470.1,-0.004607149373270381,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC002550.2,-0.004325603887733366,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC002551.1,0.006740868404999339,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC002553.1,-0.0016760445558563091,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC002553.2,0.005335096851726751,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC002558.3,0.009297889239624435,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC003043.2,-0.008391921167597297,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC003086.1,-3.8962595556231834e-4,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC003093.1,0.006266431331505198,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC003101.2,0.0025873883320696135,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC003102.1,0.0035223472500837956,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC003991.1,0.004010642379128029,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004000.1,0.008245583962380357,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
AC004069.1,-0.0017987790201212887,1,0.8664485777182117,distortion_associated_time_correlated_pc_oriented,positive_loading=later_more_distorted
