gene,cluster,module_membership,lfc_sur,pc_loading,NRI,baseline_value,abs_lfc_sur
SNX3,M5,0.28778463292575207,-1.0114419887791577,-0.01715859222101616,1,3492.4261915728284,1.0114419887791577
PCYOX1,M5,0.3908378114263419,-1.010303815615977,-0.01501622410439279,1,3436.799359044238,1.010303815615977
UQCRH,M5,0.3585755873942412,-1.024850862356482,-0.01613100250675882,1,3381.5626185096025,1.024850862356482
GABARAP,M5,0.29275374229502127,-0.9930100479005048,-0.01738071211670431,1,3211.615450457669,0.9930100479005048
SEC11A,M5,0.27839588546034144,-0.9930275922066478,-0.01503858129768607,1,3207.7443348044553,0.9930275922066478
COX7B,M5,0.17761054920991326,-1.0340046814454895,-0.0173115258293737,1,2944.2256525715893,1.0340046814454895
SERPINA5,M5,0.24085165510528772,-0.9892679821996442,-0.01175369470712496,1,2440.751740189735,0.9892679821996442
H1FX,M5,0.22145634107999812,-0.9777882732107166,-0.01721440500297041,1,2214.137294407304,0.9777882732107166
DBI,M5,0.06698523388124145,-0.9763358944527843,-0.01548541691040151,1,2061.3812517678866,0.9763358944527843
PHLDA1,M5,0.2695305539192202,-1.0125744876510865,-0.02156818708334557,1,1738.5229222696246,1.0125744876510865
HEXIM1,M5,0.2623357581044593,-1.0485160510591154,-0.01930566884075249,1,1660.104219139716,1.0485160510591154
RHOB,M5,0.00487061667749622,-1.2059733178604226,-0.02085281026847725,1,1459.7669688705369,1.2059733178604226
MUC16,M6,0.3909551454739598,0.7145535135845353,0.009675234825485,1,45598.74709201403,0.7145535135845353
DDIT4,M6,0.1896599842061487,0.4692870305017802,0.01275653660655693,0.97435897435897445,22059.682299950196,0.4692870305017802
SRRM2,M6,0.2808845662807502,0.8301555192315053,0.01176598392677341,1,19372.864475612656,0.8301555192315053
XIST,M6,0.42741085158375114,0.7118761832400544,0.00873484777622376,1,16741.11326943151,0.7118761832400544
DLG5,M6,0.05521534337247613,0.9820077795530722,0.01620724053013755,0.97435897435897445,15395.485451436645,0.9820077795530722
NEAT1,M6,0.02165128429744201,1.6447154089203373,0.0180639172208349,1,14378.366008340936,1.6447154089203373
LAMA5,M6,0.12241140237405934,0.9003821678776287,0.01428429948252035,0.97435897435897445,12295.014176218712,0.9003821678776287
DST,M6,0.32807081129533466,0.6772890704134937,0.01036853771839705,1,12252.237545548389,0.6772890704134937
SNHG3,M6,0.5274914441728344,0.5081092169174823,0.00480359091112014,1,11509.578479379372,0.5081092169174823
TNFAIP2,M6,0.48791616617917766,0.5113478543105412,0.00739421798846543,1,11074.807915088182,0.5113478543105412
PRRC2C,M6,0.4500461517978711,0.4931274450224646,0.00800812260551839,1,9559.536811746913,0.4931274450224646
RNF213,M6,0.34952374659237284,0.6590118171751644,0.00994935072198896,1,9458.907949340559,0.6590118171751644
MACF1,M6,0.3665170589370317,0.634242024067996,0.00943554856023028,1,8342.988060872874,0.634242024067996
MKI67,M6,0.13299103629661868,0.8834322180079521,0.01321307282847338,1,8099.105512924905,0.8834322180079521
RBM39,M6,0.4095003381657467,0.48168462541010193,0.00857121119202582,1,7313.7058049216685,0.48168462541010193
BIRC6,M6,0.1640722592992756,0.5710269659615328,0.01153331523640181,1,6935.616284446976,0.5710269659615328
SHROOM3,M6,0.21748053139975565,0.5769478277951983,0.01071302074990868,1,6863.179686832122,0.5769478277951983
SYNE2,M6,0.4042990405062187,0.5896826718735131,0.00858823832211647,1,6816.636732275596,0.5896826718735131
NUMA1,M6,0.15370760453955556,0.8107335304661092,0.01164739870486218,1,6630.257802034117,0.8107335304661092
OGT,M6,0.5064056461492886,0.4655945299837949,0.00694651017351311,1,6513.667102747031,0.4655945299837949
TNKS1BP1,M6,0.3551079005802754,0.4364980891779009,0.00901655025912786,1,6304.22963031356,0.4364980891779009
MAVS,M6,0.4262042243343308,0.4362375632450153,0.00796718162208987,1,6239.293668274389,0.4362375632450153
KMT2D,M6,0.19219475738304817,0.6960957364537297,0.01159838510240181,1,6235.742290405806,0.6960957364537297
SREBF1,M6,0.2440733239933056,0.603152473848434,0.01115960856275118,1,6187.036177458941,0.603152473848434
USP34,M6,0.28228580429087846,0.4592753628521997,0.00960878259637367,1,5775.229726091515,0.4592753628521997
USP24,M6,0.3523557850296155,0.4591481424339516,0.00855621767832337,1,5768.327367510652,0.4591481424339516
SRCAP,M6,0.15317460173596886,0.5981256244707573,0.01175847369367919,1,5738.510661748333,0.5981256244707573
ANKRD17,M6,0.00931928157667272,0.6481834652722132,0.01209526577049406,1,5661.30799275211,0.6481834652722132
GOLGB1,M6,0.3955104209252761,0.5464292625585969,0.00802878798187607,1,5618.312160969175,0.5464292625585969
TPR,M6,0.2862436931316883,0.5803003313664128,0.00917823059607754,1,5357.082249658601,0.5803003313664128
GOLGA4,M6,0.4163665720685169,0.483512956048445,0.00769910452625456,1,5103.486198980187,0.483512956048445
SYT8,M6,0.42916594406772113,0.6291579797182241,0.00806647523460461,1,5051.422611939695,0.6291579797182241
PTPN14,M6,0.31230713085433226,0.5430413860044272,0.00857884141862808,1,5036.9110831781845,0.5430413860044272
DDX39B,M6,0.5756458953553665,0.44560303597261175,0.00550236730209413,1,5015.790611768713,0.44560303597261175
STAT6,M6,0.48391195887954264,0.5159316554401148,0.00696363009128313,1,4920.82120261869,0.5159316554401148
KIAA1109,M6,0.23374777621191345,0.6363122842997733,0.00951772136902878,1,4798.440063305152,0.6363122842997733
CENPF,M6,0.01317723774661294,0.824891560429009,0.01278750417734155,1,4776.104291496755,0.824891560429009
SMARCA4,M6,0.4550101481684945,0.4281209881451904,0.00732758819071432,1,4762.259494903769,0.4281209881451904
HNRNPDL,M6,0.22295876775349155,0.6896340974618731,0.00968289131851059,1,4663.8363300830915,0.6896340974618731
DDX42,M6,0.03875766292801019,0.704552563887157,0.01143654786706973,1,4623.697096119169,0.704552563887157
MAPK8IP3,M6,0.41269008633133464,0.44236151627227294,0.00799789346280286,1,4179.58343028993,0.44236151627227294
POLR1A,M6,0.1224468916125252,0.4378345566347619,0.0104512036587284,1,4134.731191138593,0.4378345566347619
OGA,M6,0.32357627674468603,0.5285251699329319,0.00827832596712991,1,4062.889734566748,0.5285251699329319
CFB,M6,0.4789333741335463,0.47379281442308496,0.00591132550412154,1,3977.6434574803297,0.47379281442308496
ACIN1,M6,0.40478543947931533,0.5446978779217453,0.00769144936902612,1,3927.5968170110054,0.5446978779217453
