gene,baseline_mean,region
ENSG00000132361_CLUH,12.92959828,head
ENSG00000077147_TM9SF3,12.92724996,head
ENSG00000108582_CPD,12.92554338,head
ENSG00000163597_SNHG16,12.92537286,head
ENSG00000075223_SEMA3C,12.92328449,head
ENSG00000007202_KIAA0100,12.91889747,head
ENSG00000113161_HMGCR,12.91843737,head
ENSG00000075426_FOSL2,12.91745227,head
ENSG00000023445_BIRC3,12.91288648,head
ENSG00000196924_FLNA,12.91084949,head
ENSG00000168036_CTNNB1,12.90585172,head
ENSG00000047936_ROS1,12.90164607,head
ENSG00000185432_METTL7A,12.90146205,head
ENSG00000124145_SDC4,12.89795466,head
ENSG00000206075_SERPINB5,12.89216738,head
ENSG00000177469_CAVIN1,12.88979473,head
ENSG00000168003_SLC3A2,12.87870912,head
ENSG00000111144_LTA4H,12.87634526,head
ENSG00000113712_CSNK1A1,12.87578797,head
ENSG00000203485_INF2,12.8753722,head
ENSG00000058085_LAMC2,12.87169862,head
ENSG00000124486_USP9X,12.87071081,head
ENSG00000143933_CALM2,12.86988123,head
ENSG00000060656_PTPRU,12.86411327,head
ENSG00000109332_UBE2D3,12.86272475,head
ENSG00000144028_SNRNP200,12.86034444,head
ENSG00000085733_CTTN,12.85851488,head
ENSG00000104904_OAZ1,12.85186158,head
ENSG00000166197_NOLC1,12.85106037,head
ENSG00000185896_LAMP1,12.84877614,head
ENSG00000198355_PIM3,12.8452752,head
ENSG00000213741_RPS29,12.84287219,head
ENSG00000168906_MAT2A,12.84176702,head
ENSG00000060237_WNK1,12.83976555,head
ENSG00000105835_NAMPT,12.83818625,head
ENSG00000266412_NCOA4,12.83802427,head
ENSG00000131051_RBM39,12.83799561,head
ENSG00000197747_S100A10,12.83785647,head
ENSG00000072778_ACADVL,12.83665706,head
ENSG00000206527_HACD2,12.8349749,head
ENSG00000172037_LAMB2,12.8339477,head
ENSG00000131469_RPL27,12.83300481,head
ENSG00000103342_GSPT1,12.82098844,head
ENSG00000141905_NFIC,12.82067428,head
ENSG00000136628_EPRS,12.82002104,head
ENSG00000146731_CCT6A,12.8186771,head
ENSG00000160710_ADAR,12.81829246,head
ENSG00000108091_CCDC6,12.81637112,head
ENSG00000115919_KYNU,12.81409528,head
ENSG00000143870_PDIA6,12.81312228,head
ENSG00000121579_NAA50,12.80974977,head
ENSG00000004478_FKBP4,12.80792633,head
ENSG00000278540_ACACA,12.8073874,head
ENSG00000106541_AGR2,12.80679796,head
ENSG00000167460_TPM4,12.80662805,head
ENSG00000147162_OGT,12.80389986,head
ENSG00000150753_CCT5,12.80213632,head
ENSG00000060138_YBX3,12.80197886,head
ENSG00000241343_RPL36A,12.80145973,head
ENSG00000015479_MATR3,12.80118534,head
ENSG00000135624_CCT7,12.79940282,head
ENSG00000171862_PTEN,12.79349251,head
ENSG00000179295_PTPN11,12.79208046,head
ENSG00000171314_PGAM1,12.78957233,head
ENSG00000166794_PPIB,12.78798179,head
ENSG00000166913_YWHAB,12.78796656,head
ENSG00000130175_PRKCSH,12.78628294,head
ENSG00000128272_ATF4,12.78548459,head
ENSG00000177731_FLII,12.7843503,head
ENSG00000141522_ARHGDIA,12.78321377,head
ENSG00000062485_CS,12.77754774,head
ENSG00000002834_LASP1,12.77630022,head
ENSG00000090060_PAPOLA,12.77487744,head
ENSG00000170027_YWHAG,12.77436479,head
ENSG00000167986_DDB1,12.77354715,head
ENSG00000117335_CD46,12.77150344,head
ENSG00000147862_NFIB,12.76762475,head
ENSG00000173898_SPTBN2,12.76741719,head
ENSG00000108256_NUFIP2,12.76577618,head
ENSG00000112081_SRSF3,12.76548751,head
ENSG00000170144_HNRNPA3,12.76274387,head
ENSG00000128989_ARPP19,12.76218133,head
ENSG00000178952_TUFM,12.76077056,head
ENSG00000119318_RAD23B,12.75971224,head
ENSG00000120438_TCP1,12.75907572,head
ENSG00000135829_DHX9,12.75746374,head
ENSG00000137076_TLN1,12.75596269,head
ENSG00000169564_PCBP1,12.75530057,head
ENSG00000102854_MSLN,12.75473101,head
ENSG00000129250_KIF1C,12.7541424,head
ENSG00000185650_ZFP36L1,12.75379472,head
ENSG00000065613_SLK,12.7502196,head
ENSG00000126247_CAPNS1,12.74774663,head
ENSG00000177565_TBL1XR1,12.74731048,head
ENSG00000147649_MTDH,12.74252934,head
ENSG00000138771_SHROOM3,12.74115782,head
ENSG00000115760_BIRC6,12.74012887,head
ENSG00000109606_DHX15,12.73664619,head
ENSG00000135535_CD164,12.73283931,head
ENSG00000213064_SFT2D2,12.73210663,head
ENSG00000094916_CBX5,12.72979316,head
ENSG00000105323_HNRNPUL1,12.72764416,head
ENSG00000163527_STT3B,12.7261369,head
ENSG00000173674_EIF1AX,12.72417478,head
ENSG00000082898_XPO1,12.72309259,head
ENSG00000115380_EFEMP1,12.7174988,head
ENSG00000089154_GCN1,12.71658692,head
ENSG00000137497_NUMA1,12.71206117,head
ENSG00000182670_TTC3,12.70745935,head
ENSG00000215021_PHB2,12.70745012,head
ENSG00000124422_USP22,12.70620527,head
ENSG00000163902_RPN1,12.70534966,head
ENSG00000164754_RAD21,12.70507021,head
ENSG00000181019_NQO1,12.70258756,head
ENSG00000137801_THBS1,12.70220195,head
ENSG00000196498_NCOR2,12.70081582,head
ENSG00000136238_RAC1,12.69722578,head
ENSG00000146701_MDH2,12.6961578,head
ENSG00000116039_ATP6V1B1,12.695206,head
ENSG00000061676_NCKAP1,12.69286255,head
ENSG00000185479_KRT6B,12.68375252,head
ENSG00000124107_SLPI,12.68357736,head
ENSG00000100353_EIF3D,12.68127527,head
ENSG00000169714_CNBP,12.68052239,head
ENSG00000197077_KIAA1671,12.68031198,head
ENSG00000265972_TXNIP,12.67879867,head
ENSG00000234741_GAS5,12.67872494,head
ENSG00000072310_SREBF1,12.67851139,head
ENSG00000177106_EPS8L2,12.6772448,head
ENSG00000108561_C1QBP,12.67691794,head
ENSG00000182944_EWSR1,12.6754778,head
ENSG00000170004_CHD3,12.675236,head
ENSG00000052802_MSMO1,12.67484954,head
ENSG00000186298_PPP1CC,12.67420751,head
ENSG00000104549_SQLE,12.67373811,head
ENSG00000170515_PA2G4,12.67353715,head
ENSG00000054654_SYNE2,12.67112761,head
ENSG00000170315_UBB,12.66490875,head
ENSG00000117868_ESYT2,12.66197951,head
ENSG00000170759_KIF5B,12.65716082,head
ENSG00000131504_DIAPH1,12.65638199,head
ENSG00000135862_LAMC1,12.65348467,head
ENSG00000124783_SSR1,12.6529557,head
ENSG00000174780_SRP72,12.6507894,head
ENSG00000155660_PDIA4,12.65041628,head
ENSG00000184216_IRAK1,12.64514588,head
ENSG00000178719_GRINA,12.63988556,head
ENSG00000170275_CRTAP,12.63930944,head
ENSG00000030582_GRN,12.63781236,head
ENSG00000161547_SRSF2,12.63549246,head
ENSG00000180900_SCRIB,12.63533498,head
ENSG00000166012_TAF1D,12.63323092,head
ENSG00000186174_BCL9L,12.63156104,head
ENSG00000167553_TUBA1C,12.62948344,head
ENSG00000163191_S100A11,12.6274274,head
ENSG00000099219_ERMP1,12.62288162,head
ENSG00000156453_PCDH1,12.62242799,head
ENSG00000092841_MYL6,12.62230328,head
ENSG00000029363_BCLAF1,12.61638214,head
ENSG00000127184_COX7C,12.61504699,head
ENSG00000115310_RTN4,12.61079867,head
ENSG00000116459_ATP5PB,12.60811681,head
ENSG00000100664_EIF5,12.60740939,head
ENSG00000189241_TSPYL1,12.6029703,head
ENSG00000138760_SCARB2,12.60247069,head
ENSG00000147065_MSN,12.59933516,head
ENSG00000188157_AGRN,12.59362609,head
ENSG00000116260_QSOX1,12.59173486,head
ENSG00000147274_RBMX,12.59088783,head
ENSG00000166226_CCT2,12.5901588,head
ENSG00000163584_RPL22L1,12.58988799,head
ENSG00000135940_COX5B,12.58762639,head
