gene_id,x_comparison_id,x_baseline_mode,x_baseline_label,x_condition_label,x_baseline_rank,x_condition_rank,x_rank_shift,x_band,y_comparison_id,y_baseline_mode,y_baseline_label,y_condition_label,y_baseline_rank,y_condition_rank,y_rank_shift,y_band,x_axis_label,y_axis_label
ENSG00000198034_RPS4X,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,48,53,-5,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,59,78,-19,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000063046_EIF4B,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,49,47,2,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,56,84,-28,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000245532_NEAT1,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,50,68,-18,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,32,13,19,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000231500_RPS18,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,51,54,-3,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,71,91,-20,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000147403_RPL10,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,52,61,-9,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,69,89,-20,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000118849_RARRES1,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,53,123,-70,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,127,204,-77,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000197958_RPL12,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,54,62,-8,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,77,115,-38,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000147604_RPL7,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,55,55,0,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,68,95,-27,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000075624_ACTB,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,56,52,4,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,45,45,0,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
ENSG00000105640_RPL18A,matched::24 h Ctrl__vs__24 h Tam,matched,24 h Ctrl,24 h Tam,57,59,-2,head,matched::24 h D__vs__24 h DT,matched,24 h D,24 h DT,73,82,-9,head,"Dox OFF: Tam vs Ctrl
Tam/MYC-ER ON vs OFF","Dox ON: DT vs D
Tam/MYC-ER ON vs OFF"
