gene,ensg,baseline_expr,baseline_tpm,A_expr,B_expr,lfc,rank,band,updown,p_value,fdr,expr_scale
ENSG00000163739_CXCL1,ENSG00000163739,825.451965945725,825.451965945725,526.930083649615,825.451965945725,-0.646584092247284,6093,mid,Down,,,normcounts
ENSG00000117155_SSX2IP,ENSG00000117155,825.114492424447,825.114492424447,817.224938658454,825.114492424447,-0.0138442309683544,6094,mid,Neutral,,,normcounts
ENSG00000178202_POGLUT3,ENSG00000178202,824.979503818177,824.979503818177,831.860034676858,824.979503818177,0.0119680830420243,6095,mid,Neutral,,,normcounts
ENSG00000106351_AGFG2,ENSG00000106351,824.78264660397,824.78264660397,697.183183662813,824.78264660397,-0.242156492571947,6096,mid,Neutral,,,normcounts
ENSG00000139637_C12orf10,ENSG00000139637,824.771399224784,824.771399224784,823.606260394543,824.771399224784,-0.00203703713729375,6097,mid,Neutral,,,normcounts
ENSG00000154832_CXXC1,ENSG00000154832,824.000841436733,824.000841436733,814.377314809494,824.000841436733,-0.0169277716530303,6098,mid,Neutral,,,normcounts
ENSG00000004961_HCCS,ENSG00000004961,823.590251928332,823.590251928332,818.333310647557,823.590251928332,-0.00922693626461957,6099,mid,Neutral,,,normcounts
ENSG00000169519_METTL15,ENSG00000169519,823.376519634138,823.376519634138,822.435051300944,823.376519634138,-0.00164855237965789,6100,mid,Neutral,,,normcounts
ENSG00000204160_ZDHHC18,ENSG00000204160,823.320274715793,823.320274715793,818.725386229284,823.320274715793,-0.00806430168074179,6101,mid,Neutral,,,normcounts
ENSG00000154144_TBRG1,ENSG00000154144,822.97718151613,822.97718151613,858.807995592508,822.97718151613,0.0614101411428241,6102,mid,Neutral,,,normcounts
ENSG00000155850_SLC26A2,ENSG00000155850,822.707204303591,822.707204303591,879.321832970739,822.707204303591,0.0958994418246473,6103,mid,Neutral,,,normcounts
ENSG00000145743_FBXL17,ENSG00000145743,822.386609873508,822.386609873508,825.111725616956,822.386609873508,0.00476692150724389,6104,mid,Neutral,,,normcounts
ENSG00000111358_GTF2H3,ENSG00000111358,822.026641593859,822.026641593859,851.386156623396,822.026641593859,0.0505680310554055,6105,mid,Neutral,,,normcounts
ENSG00000138496_PARP9,ENSG00000138496,821.41919487125,821.41919487125,729.155254733255,821.41919487125,-0.17167067628127,6106,mid,Neutral,,,normcounts
ENSG00000077713_SLC25A43,ENSG00000077713,821.312328724153,821.312328724153,806.128558178762,821.312328724153,-0.0268879769919455,6107,mid,Neutral,,,normcounts
ENSG00000084636_COL16A1,ENSG00000084636,821.211086266649,821.211086266649,803.004497653902,821.211086266649,-0.0323052526250951,6108,mid,Neutral,,,normcounts
ENSG00000171453_POLR1C,ENSG00000171453,820.980482903675,820.980482903675,1064.77556294281,820.980482903675,0.374727615095338,6109,mid,Up,,,normcounts
ENSG00000196517_SLC6A9,ENSG00000196517,820.648637083199,820.648637083199,764.289135175141,820.648637083199,-0.102516665963437,6110,mid,Neutral,,,normcounts
ENSG00000165516_KLHDC2,ENSG00000165516,820.547394625695,820.547394625695,797.093141558785,820.547394625695,-0.0417866796978661,6111,mid,Neutral,,,normcounts
ENSG00000237515_SHISA9,ENSG00000237515,820.491153718558,820.491153718558,764.553027722083,820.491153718558,-0.101742726856605,6112,mid,Neutral,,,normcounts
ENSG00000146411_SLC2A12,ENSG00000146411,819.97369806306,819.97369806306,865.430630443417,819.97369806306,0.0777482442335735,6113,mid,Neutral,,,normcounts
ENSG00000135457_TFCP2,ENSG00000135457,819.74871838968,819.74871838968,825.021291428754,819.74871838968,0.00923837685157025,6114,mid,Neutral,,,normcounts
ENSG00000228300_FAM174C,ENSG00000228300,819.720595930507,819.720595930507,922.141444928679,819.720595930507,0.169660558320933,6115,mid,Neutral,,,normcounts
ENSG00000139178_C1RL,ENSG00000139178,819.498653691301,819.498653691301,845.570252368065,819.498653691301,0.0451288281800011,6116,mid,Neutral,,,normcounts
ENSG00000132623_ANKEF1,ENSG00000132623,819.225639044588,819.225639044588,824.312521498753,819.225639044588,0.00891968797018805,6117,mid,Neutral,,,normcounts
ENSG00000079819_EPB41L2,ENSG00000079819,819.203140275009,819.203140275009,828.914450162321,819.203140275009,0.0169813599397113,6118,mid,Neutral,,,normcounts
ENSG00000205903_ZNF316,ENSG00000205903,818.921915683283,818.921915683283,837.892047329384,818.921915683283,0.0329986467838506,6119,mid,Neutral,,,normcounts
ENSG00000215440_NPEPL1,ENSG00000215440,818.73068215867,818.73068215867,858.928652149918,818.73068215867,0.069066966746556,6120,mid,Neutral,,,normcounts
ENSG00000170855_TRIAP1,ENSG00000170855,818.713807078683,818.713807078683,1022.37311482451,818.713807078683,0.320140034067803,6121,mid,Up,,,normcounts
ENSG00000141696_P3H4,ENSG00000141696,818.70818338909,818.70818338909,986.462609696544,818.70818338909,0.268615720697559,6122,mid,Neutral,,,normcounts
ENSG00000104219_ZDHHC2,ENSG00000104219,817.96575207142,817.96575207142,723.497755881916,817.96575207142,-0.176821900700276,6123,mid,Neutral,,,normcounts
ENSG00000171503_ETFDH,ENSG00000171503,817.898255762681,817.898255762681,852.884095368435,817.898255762681,0.0603560394446383,6124,mid,Neutral,,,normcounts
ENSG00000156504_FAM122B,ENSG00000156504,817.80263699477,817.80263699477,781.895020425706,817.80263699477,-0.0646968813091924,6125,mid,Neutral,,,normcounts
ENSG00000108599_AKAP10,ENSG00000108599,817.791389615584,817.791389615584,797.535510116052,817.791389615584,-0.0361393667636971,6126,mid,Neutral,,,normcounts
ENSG00000140395_WDR61,ENSG00000140395,817.206441662554,817.206441662554,793.72024144173,817.206441662554,-0.0420178052843863,6127,mid,Neutral,,,normcounts
ENSG00000068885_IFT80,ENSG00000068885,816.958963219595,816.958963219595,813.520291238377,816.958963219595,-0.00607782590586226,6128,mid,Neutral,,,normcounts
ENSG00000215305_VPS16,ENSG00000215305,816.908341990843,816.908341990843,858.429437824568,816.908341990843,0.0714400160616808,6129,mid,Neutral,,,normcounts
ENSG00000090565_RAB11FIP3,ENSG00000090565,816.801479854954,816.801479854954,887.201093451866,816.801479854954,0.119135673888195,6130,mid,Neutral,,,normcounts
ENSG00000137843_PAK6,ENSG00000137843,816.748943964456,816.748943964456,803.273407852427,816.748943964456,-0.0239719710361968,6131,mid,Neutral,,,normcounts
ENSG00000174744_BRMS1,ENSG00000174744,816.660863547884,816.660863547884,858.943705104667,816.660863547884,0.0727396301140342,6132,mid,Neutral,,,normcounts
ENSG00000117640_MTFR1L,ENSG00000117640,816.345892807393,816.345892807393,807.95322657524,816.345892807393,-0.014890453172443,6133,mid,Neutral,,,normcounts
ENSG00000225697_SLC26A6,ENSG00000225697,815.991548217337,815.991548217337,849.709741868034,815.991548217337,0.0583458213980173,6134,mid,Neutral,,,normcounts
ENSG00000273136_NBPF26,ENSG00000273136,815.942619510594,815.942619510594,1054.516384613,815.942619510594,0.369642318686912,6135,mid,Up,,,normcounts
ENSG00000197976_AKAP17A,ENSG00000197976,815.884686081448,815.884686081448,811.52467330895,815.884686081448,-0.0077208146393879,6136,mid,Neutral,,,normcounts
ENSG00000124664_SPDEF,ENSG00000124664,815.727198705599,815.727198705599,742.219539598958,815.727198705599,-0.13606584186887,6137,mid,Neutral,,,normcounts
ENSG00000215256_DHRS4-AS1,ENSG00000215256,815.558459939356,815.558459939356,1182.85944885561,815.558459939356,0.535869728709063,6138,mid,Up,,,normcounts
ENSG00000120318_ARAP3,ENSG00000120318,815.406600264308,815.406600264308,959.311084512654,815.406600264308,0.234213984261213,6139,mid,Neutral,,,normcounts
ENSG00000164086_DUSP7,ENSG00000164086,815.316609197198,815.316609197198,1006.53407851751,815.316609197198,0.303627920309641,6140,mid,Neutral,,,normcounts
ENSG00000278129_ZNF8,ENSG00000278129,815.299734117211,815.299734117211,785.33577529884,815.299734117211,-0.0539534943588258,6141,mid,Neutral,,,normcounts
ENSG00000198721_ECI2,ENSG00000198721,815.294114438827,815.294114438827,1033.67807722402,815.294114438827,0.342021006625153,6142,mid,Up,,,normcounts
ENSG00000130363_RSPH3,ENSG00000130363,815.091629523818,815.091629523818,816.782570101188,815.091629523818,0.00298616926191109,6143,mid,Neutral,,,normcounts
ENSG00000160256_FAM207A,ENSG00000160256,814.523552639567,814.523552639567,922.342500371125,814.523552639567,0.179139350597563,6144,mid,Neutral,,,normcounts
ENSG00000109466_KLHL2,ENSG00000109466,814.264826817422,814.264826817422,751.81547250782,814.264826817422,-0.1149724939179,6145,mid,Neutral,,,normcounts
ENSG00000008256_CYTH3,ENSG00000008256,813.92173361776,813.92173361776,806.706636248187,813.92173361776,-0.0128301143891267,6146,mid,Neutral,,,normcounts
ENSG00000274070_CASTOR2,ENSG00000274070,813.618010256455,813.618010256455,800.870661386525,813.618010256455,-0.0227541566468812,6147,mid,Neutral,,,normcounts
ENSG00000177576_C18orf32,ENSG00000177576,813.595511486876,813.595511486876,766.835117630576,813.595511486876,-0.085287320300159,6148,mid,Neutral,,,normcounts
ENSG00000005486_RHBDD2,ENSG00000005486,813.151175829709,813.151175829709,687.192666346431,813.151175829709,-0.242484188266252,6149,mid,Neutral,,,normcounts
