gene,ensg,baseline_expr,baseline_tpm,A_expr,B_expr,lfc,rank,band,updown,p_value,fdr,expr_scale
ENSG00000198755_RPL10A,ENSG00000198755,20997.4876927212,20997.4876927212,19805.4411060142,20997.4876927212,-0.0843157542197091,119,head,Neutral,,,normcounts
ENSG00000119335_SET,ENSG00000119335,20891.0227219133,20891.0227219133,22286.0083722035,20891.0227219133,0.0932507959954023,120,head,Neutral,,,normcounts
ENSG00000114867_EIF4G1,ENSG00000114867,20831.0586784978,20831.0586784978,22115.5349775146,20831.0586784978,0.0863199572981621,121,head,Neutral,,,normcounts
ENSG00000034510_TMSB10,ENSG00000034510,20557.9890945209,20557.9890945209,19858.1745202338,20557.9890945209,-0.0499636714751865,122,head,Neutral,,,normcounts
ENSG00000086062_B4GALT1,ENSG00000086062,20361.0302969033,20361.0302969033,18419.9827691115,20361.0302969033,-0.144531387606612,123,head,Neutral,,,normcounts
ENSG00000108107_RPL28,ENSG00000108107,20303.7278561639,20303.7278561639,17724.1804511791,20303.7278561639,-0.196015376086086,124,head,Neutral,,,normcounts
ENSG00000100994_PYGB,ENSG00000100994,20279.418731858,20279.418731858,21620.3397690268,20279.418731858,0.092368482502037,125,head,Neutral,,,normcounts
ENSG00000144381_HSPD1,ENSG00000144381,20276.9608626205,20276.9608626205,23724.0907329744,20276.9608626205,0.226501021379232,126,head,Neutral,,,normcounts
ENSG00000167978_SRRM2,ENSG00000167978,20161.5854273649,20161.5854273649,21590.6929162158,20161.5854273649,0.0987957176201846,127,head,Neutral,,,normcounts
ENSG00000100201_DDX17,ENSG00000100201,19610.5754542957,19610.5754542957,19454.4983115918,19610.5754542957,-0.011527503652589,128,head,Neutral,,,normcounts
ENSG00000083845_RPS5,ENSG00000083845,19501.7918937872,19501.7918937872,17975.7480803009,19501.7918937872,-0.117548598805012,129,head,Neutral,,,normcounts
ENSG00000161960_EIF4A1,ENSG00000161960,19494.9469088852,19494.9469088852,21860.2178768138,19494.9469088852,0.165199547571145,130,head,Neutral,,,normcounts
ENSG00000100345_MYH9,ENSG00000100345,19357.1747206707,19357.1747206707,20747.6148683407,19357.1747206707,0.100072101011765,131,head,Neutral,,,normcounts
ENSG00000151726_ACSL1,ENSG00000151726,19343.8784171605,19343.8784171605,15856.3285390008,19343.8784171605,-0.286801918666177,132,head,Neutral,,,normcounts
ENSG00000175061_SNHG29,ENSG00000175061,19312.1787097817,19312.1787097817,17541.0991192641,19312.1787097817,-0.138764239942645,133,head,Neutral,,,normcounts
ENSG00000111057_KRT18,ENSG00000111057,19282.0201059455,19282.0201059455,25543.5136256771,19282.0201059455,0.405682442590519,134,head,Up,,,normcounts
ENSG00000112378_PERP,ENSG00000112378,19249.54572277,19249.54572277,17684.5443091809,19249.54572277,-0.122328722884328,135,head,Neutral,,,normcounts
MYCER-ER,,19230.1024651616,19230.1024651616,16893.8958517767,19230.1024651616,-0.186854013642037,136,head,Neutral,,,normcounts
ENSG00000044574_HSPA5,ENSG00000044574,19227.3612164804,19227.3612164804,29256.8307210485,19227.3612164804,0.605586996185256,137,head,Up,,,normcounts
ENSG00000117983_MUC5B,ENSG00000117983,19129.2617926481,19129.2617926481,14305.1459904739,19129.2617926481,-0.419221547686423,138,head,Down,,,normcounts
ENSG00000134419_RPS15A,ENSG00000134419,19119.7757184605,19119.7757184605,17635.7638026595,19119.7757184605,-0.116555190969878,139,head,Neutral,,,normcounts
