timepoint	condition	x	density
4h	Ctrl	8.516129032258066	0.11058731524367885
4h	Ctrl	8.537634408602152	0.11155254308497987
4h	Ctrl	8.559139784946238	0.11251548453373808
4h	Ctrl	8.580645161290324	0.11347606251508732
4h	Ctrl	8.60215053763441	0.11443523882018768
4h	Ctrl	8.623655913978496	0.11539372053727695
4h	Ctrl	8.645161290322582	0.1163535258300127
4h	Ctrl	8.666666666666668	0.1173150481667978
4h	Ctrl	8.688172043010754	0.11828025978469718
4h	Ctrl	8.70967741935484	0.11925022368931934
4h	Ctrl	8.731182795698926	0.12022574463605995
4h	Ctrl	8.752688172043012	0.1212078875714294
4h	Ctrl	8.774193548387098	0.12219729746371596
4h	Ctrl	8.795698924731184	0.12319350287483855
4h	Ctrl	8.81720430107527	0.12419661461034454
4h	Ctrl	8.838709677419356	0.12520558958664169
4h	Ctrl	8.860215053763442	0.12621855319545083
4h	Ctrl	8.881720430107528	0.12723384210308045
4h	Ctrl	8.903225806451614	0.12824829648522593
4h	Ctrl	8.9247311827957	0.1292586388494507
4h	Ctrl	8.946236559139786	0.1302613117024597
4h	Ctrl	8.967741935483872	0.1312532420047201
4h	Ctrl	8.989247311827958	0.1322308260278712
4h	Ctrl	9.010752688172044	0.13318920665012504
4h	Ctrl	9.03225806451613	0.1341257629159939
4h	Ctrl	9.053763440860216	0.13503633913198115
4h	Ctrl	9.075268817204302	0.13591834382335158
4h	Ctrl	9.096774193548388	0.13677020692602496
4h	Ctrl	9.118279569892474	0.13758909912910683
4h	Ctrl	9.13978494623656	0.13837423454252462
4h	Ctrl	9.161290322580646	0.13912537346881473
4h	Ctrl	9.182795698924732	0.13984212534034707
