contrast_id	timepoint	numerator	denominator	x	delta_density
D_vs_Ctrl_4h	4h	D	Ctrl	2.860215053763441	0.0021861462118317604
D_vs_Ctrl_4h	4h	D	Ctrl	2.881720430107527	0.002048726963861977
D_vs_Ctrl_4h	4h	D	Ctrl	2.903225806451613	0.0018889160971634483
D_vs_Ctrl_4h	4h	D	Ctrl	2.924731182795699	0.0017062089209737424
D_vs_Ctrl_4h	4h	D	Ctrl	2.946236559139785	0.0015003391779728759
D_vs_Ctrl_4h	4h	D	Ctrl	2.967741935483871	0.0012760891443671235
D_vs_Ctrl_4h	4h	D	Ctrl	2.9892473118279574	0.0010311435151110493
D_vs_Ctrl_4h	4h	D	Ctrl	3.0107526881720434	0.0007694720516143033
D_vs_Ctrl_4h	4h	D	Ctrl	3.0322580645161294	0.0004917646777495982
D_vs_Ctrl_4h	4h	D	Ctrl	3.0537634408602155	0.00020221900022118766
D_vs_Ctrl_4h	4h	D	Ctrl	3.0752688172043015	-9.57818911889452e-05
D_vs_Ctrl_4h	4h	D	Ctrl	3.0967741935483875	-0.00039751487181632905
D_vs_Ctrl_4h	4h	D	Ctrl	3.1182795698924735	-0.0006992828832680376
D_vs_Ctrl_4h	4h	D	Ctrl	3.1397849462365595	-0.0009964114717114364
D_vs_Ctrl_4h	4h	D	Ctrl	3.1612903225806455	-0.0012871384350195275
D_vs_Ctrl_4h	4h	D	Ctrl	3.1827956989247315	-0.0015672998494128815
D_vs_Ctrl_4h	4h	D	Ctrl	3.2043010752688175	-0.00183145852125359
D_vs_Ctrl_4h	4h	D	Ctrl	3.2258064516129035	-0.0020771314149649334
D_vs_Ctrl_4h	4h	D	Ctrl	3.2473118279569895	-0.00230075950757129
D_vs_Ctrl_4h	4h	D	Ctrl	3.2688172043010755	-0.0025010981400871296
D_vs_Ctrl_4h	4h	D	Ctrl	3.2903225806451615	-0.002674389817452938
D_vs_Ctrl_4h	4h	D	Ctrl	3.3118279569892475	-0.002823134060141508
D_vs_Ctrl_4h	4h	D	Ctrl	3.3333333333333335	-0.0029428621408412597
D_vs_Ctrl_4h	4h	D	Ctrl	3.3548387096774195	-0.0030334655671979266
D_vs_Ctrl_4h	4h	D	Ctrl	3.3763440860215055	-0.0030941720803703276
D_vs_Ctrl_4h	4h	D	Ctrl	3.3978494623655915	-0.003126772249296958
D_vs_Ctrl_4h	4h	D	Ctrl	3.4193548387096775	-0.00313393568499587
D_vs_Ctrl_4h	4h	D	Ctrl	3.440860215053764	-0.003116579908094802
D_vs_Ctrl_4h	4h	D	Ctrl	3.46236559139785	-0.003074634175480151
D_vs_Ctrl_4h	4h	D	Ctrl	3.483870967741936	-0.00301198269269648
D_vs_Ctrl_4h	4h	D	Ctrl	3.505376344086022	-0.002928815744383667
D_vs_Ctrl_4h	4h	D	Ctrl	3.526881720430108	-0.0028317090348167068
D_vs_Ctrl_4h	4h	D	Ctrl	3.548387096774194	-0.0027221603593374777
D_vs_Ctrl_4h	4h	D	Ctrl	3.56989247311828	-0.00260222106886715
D_vs_Ctrl_4h	4h	D	Ctrl	3.591397849462366	-0.002474222104814447
D_vs_Ctrl_4h	4h	D	Ctrl	3.612903225806452	-0.0023410252228980716
D_vs_Ctrl_4h	4h	D	Ctrl	3.634408602150538	-0.0022092571167997496
D_vs_Ctrl_4h	4h	D	Ctrl	3.655913978494624	-0.0020795201929991874
D_vs_Ctrl_4h	4h	D	Ctrl	3.67741935483871	-0.001954288474755997
D_vs_Ctrl_4h	4h	D	Ctrl	3.698924731182796	-0.0018351415457186285
D_vs_Ctrl_4h	4h	D	Ctrl	3.720430107526882	-0.0017250577142360335
D_vs_Ctrl_4h	4h	D	Ctrl	3.741935483870968	-0.0016263154628941706
D_vs_Ctrl_4h	4h	D	Ctrl	3.763440860215054	-0.001539796031278566
D_vs_Ctrl_4h	4h	D	Ctrl	3.78494623655914	-0.0014653788037614843
D_vs_Ctrl_4h	4h	D	Ctrl	3.806451612903226	-0.001403268550796484
D_vs_Ctrl_4h	4h	D	Ctrl	3.827956989247312	-0.0013572312410745288
D_vs_Ctrl_4h	4h	D	Ctrl	3.849462365591398	-0.0013252592807898866
D_vs_Ctrl_4h	4h	D	Ctrl	3.870967741935484	-0.001304822423019568
D_vs_Ctrl_4h	4h	D	Ctrl	3.89247311827957	-0.0012959000137105145
D_vs_Ctrl_4h	4h	D	Ctrl	3.9139784946236564	-0.0012994422727267835
D_vs_Ctrl_4h	4h	D	Ctrl	3.9354838709677424	-0.0013124337283501389
D_vs_Ctrl_4h	4h	D	Ctrl	3.9569892473118284	-0.001332504440533476
D_vs_Ctrl_4h	4h	D	Ctrl	3.9784946236559144	-0.0013576465136296845
D_vs_Ctrl_4h	4h	D	Ctrl	4.0	-0.0013890525511646504
D_vs_Ctrl_4h	4h	D	Ctrl	4.021505376344086	-0.001422500372754515
D_vs_Ctrl_4h	4h	D	Ctrl	4.043010752688172	-0.0014545994356754063
D_vs_Ctrl_4h	4h	D	Ctrl	4.064516129032258	-0.0014882464094553433
D_vs_Ctrl_4h	4h	D	Ctrl	4.086021505376344	-0.0015174792451613586
D_vs_Ctrl_4h	4h	D	Ctrl	4.10752688172043	-0.001541025491777856
D_vs_Ctrl_4h	4h	D	Ctrl	4.129032258064516	-0.0015583512967225696
D_vs_Ctrl_4h	4h	D	Ctrl	4.150537634408603	-0.0015694970648596832
D_vs_Ctrl_4h	4h	D	Ctrl	4.172043010752689	-0.001570427587985486
D_vs_Ctrl_4h	4h	D	Ctrl	4.193548387096775	-0.0015614645121675708
D_vs_Ctrl_4h	4h	D	Ctrl	4.215053763440861	-0.0015422833522701351
D_vs_Ctrl_4h	4h	D	Ctrl	4.236559139784947	-0.0015114033135630728
D_vs_Ctrl_4h	4h	D	Ctrl	4.258064516129033	-0.0014681538094232088
D_vs_Ctrl_4h	4h	D	Ctrl	4.279569892473119	-0.0014150166337814213
D_vs_Ctrl_4h	4h	D	Ctrl	4.301075268817205	-0.0013487019536322087
D_vs_Ctrl_4h	4h	D	Ctrl	4.322580645161291	-0.0012715719963449917
D_vs_Ctrl_4h	4h	D	Ctrl	4.344086021505377	-0.0011851267955941547
D_vs_Ctrl_4h	4h	D	Ctrl	4.365591397849463	-0.0010885541955497208
D_vs_Ctrl_4h	4h	D	Ctrl	4.387096774193549	-0.0009825954761255654
D_vs_Ctrl_4h	4h	D	Ctrl	4.408602150537635	-0.0008710770165335779
D_vs_Ctrl_4h	4h	D	Ctrl	4.430107526881721	-0.0007534579221614504
D_vs_Ctrl_4h	4h	D	Ctrl	4.451612903225807	-0.0006321499794502347
D_vs_Ctrl_4h	4h	D	Ctrl	4.473118279569893	-0.0005097150915919849
D_vs_Ctrl_4h	4h	D	Ctrl	4.494623655913979	-0.0003864601513690752
D_vs_Ctrl_4h	4h	D	Ctrl	4.516129032258065	-0.00026631526564883934
D_vs_Ctrl_4h	4h	D	Ctrl	4.537634408602151	-0.00014995508542704067
D_vs_Ctrl_4h	4h	D	Ctrl	4.559139784946237	-4.091687307766767e-05
D_vs_Ctrl_4h	4h	D	Ctrl	4.580645161290323	6.012122514085366e-05
D_vs_Ctrl_4h	4h	D	Ctrl	4.602150537634409	0.00015150274653552565
D_vs_Ctrl_4h	4h	D	Ctrl	4.623655913978495	0.00023052433862370825
D_vs_Ctrl_4h	4h	D	Ctrl	4.645161290322581	0.00029718769982742255
D_vs_Ctrl_4h	4h	D	Ctrl	4.666666666666667	0.00034800967599021154
D_vs_Ctrl_4h	4h	D	Ctrl	4.688172043010753	0.0003843193304907816
D_vs_Ctrl_4h	4h	D	Ctrl	4.709677419354839	0.0004049622908059228
D_vs_Ctrl_4h	4h	D	Ctrl	4.731182795698925	0.000409748331890121
D_vs_Ctrl_4h	4h	D	Ctrl	4.752688172043011	0.0003992319714442999
D_vs_Ctrl_4h	4h	D	Ctrl	4.774193548387097	0.0003732320209828832
D_vs_Ctrl_4h	4h	D	Ctrl	4.795698924731183	0.000333719523036749
D_vs_Ctrl_4h	4h	D	Ctrl	4.817204301075269	0.00028220214724750114
D_vs_Ctrl_4h	4h	D	Ctrl	4.838709677419355	0.0002196907485326957
D_vs_Ctrl_4h	4h	D	Ctrl	4.860215053763441	0.00014931927307728493
D_vs_Ctrl_4h	4h	D	Ctrl	4.881720430107527	7.177330961152806e-05
D_vs_Ctrl_4h	4h	D	Ctrl	4.903225806451613	-8.08225213601299e-06
D_vs_Ctrl_4h	4h	D	Ctrl	4.924731182795699	-8.99841848052696e-05
D_vs_Ctrl_4h	4h	D	Ctrl	4.946236559139785	-0.00016948412821862074
D_vs_Ctrl_4h	4h	D	Ctrl	4.967741935483871	-0.0002447433307950289
D_vs_Ctrl_4h	4h	D	Ctrl	4.989247311827957	-0.0003122373353675184
D_vs_Ctrl_4h	4h	D	Ctrl	5.010752688172043	-0.0003711020970767545
D_vs_Ctrl_4h	4h	D	Ctrl	5.032258064516129	-0.0004177155868026333
D_vs_Ctrl_4h	4h	D	Ctrl	5.053763440860216	-0.0004504751515867697
D_vs_Ctrl_4h	4h	D	Ctrl	5.075268817204302	-0.00046770205983554664
D_vs_Ctrl_4h	4h	D	Ctrl	5.096774193548388	-0.00046831717857313826
D_vs_Ctrl_4h	4h	D	Ctrl	5.118279569892474	-0.0004511352547563324
D_vs_Ctrl_4h	4h	D	Ctrl	5.13978494623656	-0.0004161533278703236
D_vs_Ctrl_4h	4h	D	Ctrl	5.161290322580646	-0.0003625937827623493
