gene_id	log_expression	timepoint	condition
ENSG00000010165_EEF1AKNMT	10.25098964105617	4h	Ctrl
ENSG00000010219_DYRK4	8.534089977998367	4h	Ctrl
ENSG00000010244_ZNF207	12.526992244797693	4h	Ctrl
ENSG00000010256_UQCRC1	12.520259168927025	4h	Ctrl
ENSG00000010270_STARD3NL	8.723331408672184	4h	Ctrl
ENSG00000010278_CD9	12.522316292134844	4h	Ctrl
ENSG00000010292_NCAPD2	11.636721084744558	4h	Ctrl
ENSG00000010295_IFFO1	3.6342939087492514	4h	Ctrl
ENSG00000010310_GIPR	1.4294969230471335	4h	Ctrl
ENSG00000010318_PHF7	5.524977443970771	4h	Ctrl
ENSG00000010319_SEMA3G	3.0938204414414257	4h	Ctrl
ENSG00000010322_NISCH	10.072951757171227	4h	Ctrl
ENSG00000010327_STAB1	0.0	4h	Ctrl
ENSG00000010361_FUZ	6.364454481216725	4h	Ctrl
ENSG00000010404_IDS	10.229773540602649	4h	Ctrl
ENSG00000010438_PRSS3	6.135058760433926	4h	Ctrl
ENSG00000010539_ZNF200	7.8285453602317885	4h	Ctrl
ENSG00000010610_CD4	4.956346103554584	4h	Ctrl
ENSG00000010626_LRRC23	5.806229097352841	4h	Ctrl
ENSG00000010704_HFE	9.24731233636246	4h	Ctrl
ENSG00000010803_SCMH1	9.739198907300784	4h	Ctrl
ENSG00000010810_FYN	3.9521770388917368	4h	Ctrl
ENSG00000010818_HIVEP2	10.510167805201762	4h	Ctrl
ENSG00000011007_ELOA	10.891876942624673	4h	Ctrl
ENSG00000011009_LYPLA2	10.593149299891369	4h	Ctrl
ENSG00000011021_CLCN6	7.599908564107123	4h	Ctrl
ENSG00000011028_MRC2	5.520619100424608	4h	Ctrl
ENSG00000011105_TSPAN9	7.855040602153718	4h	Ctrl
ENSG00000011114_BTBD7	10.864200431344042	4h	Ctrl
ENSG00000011132_APBA3	7.947061599151142	4h	Ctrl
ENSG00000011143_MKS1	8.263958386477535	4h	Ctrl
ENSG00000011198_ABHD5	11.326899549560522	4h	Ctrl
ENSG00000011243_AKAP8L	10.063400411562263	4h	Ctrl
ENSG00000011258_MBTD1	9.567967424755322	4h	Ctrl
ENSG00000011260_UTP18	10.088228011776993	4h	Ctrl
ENSG00000011275_RNF216	10.175773364783625	4h	Ctrl
ENSG00000011295_TTC19	10.86923481221783	4h	Ctrl
ENSG00000011304_PTBP1	13.120920901662558	4h	Ctrl
ENSG00000011332_DPF1	2.510675546903063	4h	Ctrl
ENSG00000011347_SYT7	5.943694563371317	4h	Ctrl
ENSG00000011376_LARS2	10.240863479426078	4h	Ctrl
ENSG00000011405_PIK3C2A	11.724252825242333	4h	Ctrl
ENSG00000011422_PLAUR	8.801737145406296	4h	Ctrl
ENSG00000011426_ANLN	11.750686706822504	4h	Ctrl
ENSG00000011451_WIZ	10.30363320574482	4h	Ctrl
