contrast_id	timepoint	numerator	denominator	x	ci_low	ci_high
D_vs_Ctrl_4h	4h	D	Ctrl	0.6451612903225807	-0.003236114638008827	0.00337158709873401
D_vs_Ctrl_4h	4h	D	Ctrl	0.6666666666666667	-0.0033419264210673063	0.0033333356145942307
D_vs_Ctrl_4h	4h	D	Ctrl	0.6881720430107527	-0.0034359270392072877	0.003234267588566361
D_vs_Ctrl_4h	4h	D	Ctrl	0.7096774193548387	-0.0035813948375918855	0.003163281646394241
D_vs_Ctrl_4h	4h	D	Ctrl	0.7311827956989247	-0.0036772235185221864	0.0030856715641755304
D_vs_Ctrl_4h	4h	D	Ctrl	0.7526881720430109	-0.003868179654923023	0.0029954413220656295
D_vs_Ctrl_4h	4h	D	Ctrl	0.7741935483870969	-0.004034445425186409	0.0029141861063006805
D_vs_Ctrl_4h	4h	D	Ctrl	0.7956989247311829	-0.004255226884656242	0.0028237806480799947
D_vs_Ctrl_4h	4h	D	Ctrl	0.8172043010752689	-0.004441912672289922	0.002759452331489344
D_vs_Ctrl_4h	4h	D	Ctrl	0.8387096774193549	-0.004656368560798893	0.0026337207270129242
D_vs_Ctrl_4h	4h	D	Ctrl	0.860215053763441	-0.004845104465978471	0.002561696373140321
D_vs_Ctrl_4h	4h	D	Ctrl	0.881720430107527	-0.005039666132477489	0.0024718462580522837
D_vs_Ctrl_4h	4h	D	Ctrl	0.903225806451613	-0.005216527747221489	0.0024164234815813317
D_vs_Ctrl_4h	4h	D	Ctrl	0.924731182795699	-0.005416829694654165	0.002335998209483477
D_vs_Ctrl_4h	4h	D	Ctrl	0.946236559139785	-0.005592231007266493	0.00228899774808845
D_vs_Ctrl_4h	4h	D	Ctrl	0.967741935483871	-0.005764660799088313	0.0022037915624439786
D_vs_Ctrl_4h	4h	D	Ctrl	0.9892473118279571	-0.005907005316235093	0.0021395836780842416
D_vs_Ctrl_4h	4h	D	Ctrl	1.010752688172043	-0.006064328242630797	0.0020799768901242095
D_vs_Ctrl_4h	4h	D	Ctrl	1.032258064516129	-0.006206584882561808	0.0020307942607483563
D_vs_Ctrl_4h	4h	D	Ctrl	1.0537634408602152	-0.006360902690875541	0.0019945424272504128
D_vs_Ctrl_4h	4h	D	Ctrl	1.0752688172043012	-0.006521621502056687	0.0018766810692487418
D_vs_Ctrl_4h	4h	D	Ctrl	1.0967741935483872	-0.006654703149848297	0.0018371971915246614
D_vs_Ctrl_4h	4h	D	Ctrl	1.1182795698924732	-0.0067989445131537455	0.0017895593861417477
D_vs_Ctrl_4h	4h	D	Ctrl	1.1397849462365592	-0.006921007721702005	0.0017259582532517474
D_vs_Ctrl_4h	4h	D	Ctrl	1.1612903225806452	-0.007078233766512403	0.0016922034041098885
D_vs_Ctrl_4h	4h	D	Ctrl	1.1827956989247312	-0.0072009670948538	0.0016480888541614293
D_vs_Ctrl_4h	4h	D	Ctrl	1.2043010752688172	-0.007293053195313792	0.0016827193186440147
D_vs_Ctrl_4h	4h	D	Ctrl	1.2258064516129032	-0.007400566854327713	0.0016565984462004353
D_vs_Ctrl_4h	4h	D	Ctrl	1.2473118279569892	-0.007446446283717542	0.0016786056823849674
D_vs_Ctrl_4h	4h	D	Ctrl	1.2688172043010755	-0.007456779804287675	0.0016809365280794151
D_vs_Ctrl_4h	4h	D	Ctrl	1.2903225806451615	-0.00744835905278915	0.001703806444393957
D_vs_Ctrl_4h	4h	D	Ctrl	1.3118279569892475	-0.0074547058943790784	0.0017734051246035651
D_vs_Ctrl_4h	4h	D	Ctrl	1.3333333333333335	-0.007392013187970549	0.0018570113468164618
