contrast_id	gene_id	baseline_bin	n_methods	spread_iqr	phase
DT_vs_D_24h	ENSG00000011275_RNF216	Non-head	6	0.4615163763799579	Late
DT_vs_D_24h	ENSG00000011295_TTC19	Non-head	6	0.20206512176413138	Late
DT_vs_D_24h	ENSG00000011304_PTBP1	Head	6	0.12646510320161225	Late
DT_vs_D_24h	ENSG00000011332_DPF1	Non-head	6	1.1367533514490673	Late
DT_vs_D_24h	ENSG00000011347_SYT7	Non-head	6	0.4482483280955345	Late
DT_vs_D_24h	ENSG00000011376_LARS2	Non-head	6	0.06175372164672699	Late
DT_vs_D_24h	ENSG00000011405_PIK3C2A	Non-head	6	0.2569736714761597	Late
DT_vs_D_24h	ENSG00000011422_PLAUR	Non-head	6	0.2753862743529232	Late
DT_vs_D_24h	ENSG00000011426_ANLN	Head	6	0.38432144369132337	Late
DT_vs_D_24h	ENSG00000011451_WIZ	Non-head	6	0.09034091955086809	Late
DT_vs_D_24h	ENSG00000011454_RABGAP1	Non-head	6	0.47912377495134917	Late
DT_vs_D_24h	ENSG00000011478_QPCTL	Non-head	6	0.2739837443101679	Late
DT_vs_D_24h	ENSG00000011485_PPP5C	Non-head	6	0.09107943036035454	Late
DT_vs_D_24h	ENSG00000011523_CEP68	Non-head	6	0.13160361664689402	Late
DT_vs_D_24h	ENSG00000011566_MAP4K3	Non-head	6	0.40987583002165906	Late
DT_vs_D_24h	ENSG00000011638_TMEM159	Non-head	6	0.6685794978359274	Late
DT_vs_D_24h	ENSG00000012048_BRCA1	Non-head	6	0.4194482396436052	Late
DT_vs_D_24h	ENSG00000012061_ERCC1	Non-head	6	0.07430838422015373	Late
DT_vs_D_24h	ENSG00000012171_SEMA3B	Non-head	6	0.8526983073446401	Late
DT_vs_D_24h	ENSG00000012174_MBTPS2	Non-head	6	0.4540910451180973	Late
DT_vs_D_24h	ENSG00000012211_PRICKLE3	Non-head	6	0.5539555041022141	Late
DT_vs_D_24h	ENSG00000012223_LTF	Non-head	6	0.24180007659555514	Late
DT_vs_D_24h	ENSG00000012232_EXTL3	Non-head	6	0.13772049793002172	Late
DT_vs_D_24h	ENSG00000012660_ELOVL5	Head	6	1.1600116973227281	Late
DT_vs_D_24h	ENSG00000012822_CALCOCO1	Non-head	6	0.7230004077618901	Late
DT_vs_D_24h	ENSG00000012963_UBR7	Non-head	6	0.14658356758208946	Late
DT_vs_D_24h	ENSG00000012983_MAP4K5	Non-head	6	0.3499939813196359	Late
DT_vs_D_24h	ENSG00000013016_EHD3	Non-head	6	1.4365852490041289	Late
DT_vs_D_24h	ENSG00000013275_PSMC4	Non-head	6	0.2978823314520137	Late
DT_vs_D_24h	ENSG00000013288_MAN2B2	Head	6	0.23086423377459597	Late
DT_vs_D_24h	ENSG00000013297_CLDN11	Non-head	6	0.5147627842020909	Late
DT_vs_D_24h	ENSG00000013306_SLC25A39	Head	6	0.25108880683633616	Late
DT_vs_D_24h	ENSG00000013364_MVP	Head	6	0.08565118917761869	Late
DT_vs_D_24h	ENSG00000013374_NUB1	Non-head	6	0.07295756565065481	Late
DT_vs_D_24h	ENSG00000013375_PGM3	Non-head	6	0.030941876730654072	Late
DT_vs_D_24h	ENSG00000013392_RWDD2A	Non-head	6	0.032397196806354306	Late
DT_vs_D_24h	ENSG00000013441_CLK1	Head	6	0.06387526976292163	Late
DT_vs_D_24h	ENSG00000013503_POLR3B	Non-head	6	0.3078372283884002	Late
DT_vs_D_24h	ENSG00000013523_ANGEL1	Non-head	6	0.3723573649572699	Late
DT_vs_D_24h	ENSG00000013561_RNF14	Non-head	6	0.12283128283609468	Late
DT_vs_D_24h	ENSG00000013563_DNASE1L1	Non-head	6	0.39062225509838844	Late
DT_vs_D_24h	ENSG00000013573_DDX11	Non-head	6	1.1257006011173734	Late
DT_vs_D_24h	ENSG00000013583_HEBP1	Non-head	6	0.24764034661410872	Late
DT_vs_D_24h	ENSG00000013588_GPRC5A	Head	6	0.3897531340128062	Late
DT_vs_D_24h	ENSG00000013619_MAMLD1	Non-head	6	0.04349470593627247	Late
DT_vs_D_24h	ENSG00000013810_TACC3	Non-head	6	0.35221242059085744	Late
DT_vs_D_24h	ENSG00000014123_UFL1	Non-head	6	0.4859551127729993	Late
DT_vs_D_24h	ENSG00000014138_POLA2	Non-head	6	0.23472784262143875	Late
DT_vs_D_24h	ENSG00000014164_ZC3H3	Non-head	6	0.40712366103816633	Late
DT_vs_D_24h	ENSG00000014216_CAPN1	Head	6	0.5968409051051402	Late
DT_vs_D_24h	ENSG00000014257_ACPP	Non-head	6	0.36310967075781597	Late
DT_vs_D_24h	ENSG00000014641_MDH1	Non-head	6	0.521719224808884	Late
DT_vs_D_24h	ENSG00000014824_SLC30A9	Non-head	6	0.4801368298053017	Late
DT_vs_D_24h	ENSG00000014914_MTMR11	Non-head	6	0.448597005714798	Late
DT_vs_D_24h	ENSG00000014919_COX15	Non-head	6	0.14335444385604057	Late
DT_vs_D_24h	ENSG00000015133_CCDC88C	Non-head	6	0.45093877676961647	Late
DT_vs_D_24h	ENSG00000015153_YAF2	Non-head	6	0.07617158427250748	Late
DT_vs_D_24h	ENSG00000015171_ZMYND11	Non-head	6	0.45334328934889445	Late
DT_vs_D_24h	ENSG00000015285_WAS	Non-head	6	0.38070227103382515	Late
