gene_id	contrast_id	method_raw	method	signed_effect	signed_score_input	baseline_expression	pval	padj	direction_input	method_note	direction_input_norm	q_for_score	has_q	sig_from_q	sig_from_direction_only	sig	direction	neglog10	signed_score	score_for_agreement
ENSG00000146070_PLA2G7	DT_vs_D_24h	PenDA	PenDA	-0.3869177713715768	NA	-3.6771569699807305	NA	NA	NA	PenDA precomputed	NA	NA	FALSE	FALSE	FALSE	FALSE	NS	NA	NA	-0.24985885864050703
ENSG00000120158_RCL1	DT_vs_D_24h	PenDA	PenDA	-0.02031757615510088	1.3328480714462636	4.620144266376435	0.04000000000000001	0.04646778042959428	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	1.3328480714462636	0.8649044735324027
ENSG00000163281_GNPDA2	DT_vs_D_24h	PenDA	PenDA	-0.4215049730314706	-1.3328480714462636	3.858660905686008	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000137474_MYO7A	DT_vs_D_24h	PenDA	PenDA	0.03161481724591403	NA	-0.39613256755981263	NA	NA	NA	PenDA precomputed	NA	NA	FALSE	FALSE	FALSE	FALSE	NS	NA	NA	-0.0965752864331495
ENSG00000255112_CHMP1B	DT_vs_D_24h	PenDA	PenDA	-0.39363904118313986	-1.3328480714462636	6.641029977824358	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000272379_AL008729.2	DT_vs_D_24h	PenDA	PenDA	0.8901229427535362	NA	-1.861486814318428	NA	NA	NA	PenDA precomputed	NA	NA	FALSE	FALSE	FALSE	FALSE	NS	NA	NA	0.24837542336881374
ENSG00000087502_ERGIC2	DT_vs_D_24h	PenDA	PenDA	-0.30735356242464285	-1.3328480714462636	5.788931427915356	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000260619_AC068870.1	DT_vs_D_24h	PenDA	PenDA	-0.44966353505229817	NA	-3.08315895638504	NA	NA	NA	PenDA precomputed	NA	NA	FALSE	FALSE	FALSE	FALSE	NS	NA	NA	-0.38586264982699736
ENSG00000113194_FAF2	DT_vs_D_24h	PenDA	PenDA	-0.1250680525430674	-1.3328480714462636	6.118026748568221	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000228812_LAMA5-AS1	DT_vs_D_24h	PenDA	PenDA	-0.6074918234384175	NA	-1.809803280591133	NA	NA	NA	PenDA precomputed	NA	NA	FALSE	FALSE	FALSE	FALSE	NS	NA	NA	-0.4103815144671295
ENSG00000136514_RTP4	DT_vs_D_24h	PenDA	PenDA	-0.6696386126971552	NA	-2.7147558559378693	NA	NA	NA	PenDA precomputed	NA	NA	FALSE	FALSE	FALSE	FALSE	NS	NA	NA	-0.41774563380844826
ENSG00000158201_ABHD3	DT_vs_D_24h	PenDA	PenDA	0.13509413273040316	0.4340310756589579	3.972885203671947	0.35999999999999976	0.3681026333558404	Up	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Up	0.3681026333558404	TRUE	FALSE	FALSE	FALSE	NS	0.4340310756589579	0.4340310756589579	0.07110257145296918
ENSG00000137124_ALDH1B1	DT_vs_D_24h	PenDA	PenDA	-0.4909333277566468	-1.3328480714462636	5.915772874728536	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000128881_TTBK2	DT_vs_D_24h	PenDA	PenDA	-0.0846165169794535	-1.3328480714462636	4.854097057016773	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000149600_COMMD7	DT_vs_D_24h	PenDA	PenDA	-0.2661804684511182	-1.3328480714462636	4.599740524783368	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
ENSG00000177144_NUDT4B	DT_vs_D_24h	PenDA	PenDA	-0.17057685080891405	-1.3328480714462636	2.7085583641782005	0.04000000000000001	0.04646778042959428	Down	PenDA precomputed: DT_vs_D_24h_PenDA_precomputed.tsv	Down	0.04646778042959428	TRUE	FALSE	FALSE	FALSE	NS	1.3328480714462636	-1.3328480714462636	-0.9797804745212341
