gene_id	pval	padj	method_log2FC	signed_score	direction	native_method	method_note
ENSG00000006025_OSBPL7	NA	NA	1	1	Up	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006042_TMEM98	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006047_YBX2	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006062_MAP3K14	NA	NA	1	1	Up	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006118_TMEM132A	NA	NA	1	1	Up	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006125_AP2B1	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006194_ZNF263	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006210_CX3CL1	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006282_SPATA20	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006327_TNFRSF12A	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006432_MAP3K9	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006451_RALA	NA	NA	-1	-1	Down	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006453_BAIAP2L1	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006459_KDM7A	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006468_ETV1	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006530_AGK	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006534_ALDH3B1	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006555_TTC22	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006576_PHTF2	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006607_FARP2	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006625_GGCT	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
ENSG00000006634_DBF4	NA	NA	0	0	NS	RankCompV3.jl	RankCompV3.jl REO output standardized into Figure 3 method slot: RankCompV3
