gene,baseline_value,baseline_band,baseline_source_matrix
AC006141.1,46.807387860845566,mid,size_factor_normalized_counts
AC006160.1,2.9076472043316897,tail,size_factor_normalized_counts
AC006213.1,7.868962981557481,NA,size_factor_normalized_counts
AC006213.2,17.42678849036656,NA,size_factor_normalized_counts
AC006213.3,2.799276530065203,tail,size_factor_normalized_counts
AC006213.4,6.723458377234209,NA,size_factor_normalized_counts
AC006213.7,2.826369198631825,tail,size_factor_normalized_counts
AC006230.1,44.03520399934699,mid,size_factor_normalized_counts
AC006238.1,4.56141913007362,NA,size_factor_normalized_counts
AC006252.1,9.068652923013996,NA,size_factor_normalized_counts
AC006262.1,36.89124968774114,mid,size_factor_normalized_counts
AC006299.1,4.93422310865917,NA,size_factor_normalized_counts
AC006329.1,307.0597248166667,mid,size_factor_normalized_counts
AC006333.2,130.5937967964793,mid,size_factor_normalized_counts
AC006435.2,0.3998966471521719,tail,size_factor_normalized_counts
AC006449.5,8.241766960143032,NA,size_factor_normalized_counts
AC006449.6,35.90180771347044,mid,size_factor_normalized_counts
AC006460.2,20.10969641322223,NA,size_factor_normalized_counts
AC006480.2,22.61744697040175,mid,size_factor_normalized_counts
AC006483.2,2.8534618671984466,tail,size_factor_normalized_counts
AC006504.1,77.51053916133777,mid,size_factor_normalized_counts
AC006504.5,391.80848305800447,mid,size_factor_normalized_counts
AC006504.7,26.914432796156305,mid,size_factor_normalized_counts
AC006538.1,4.93422310865917,NA,size_factor_normalized_counts
AC006547.2,2.880554535765068,tail,size_factor_normalized_counts
AC006566.1,2.9076472043316897,tail,size_factor_normalized_counts
AC006946.2,73.0639840868778,mid,size_factor_normalized_counts
AC006946.3,11.068136158774855,NA,size_factor_normalized_counts
AC007009.1,52.9477942923084,mid,size_factor_normalized_counts
AC007014.2,1.6266792571753093,tail,size_factor_normalized_counts
AC007032.1,12.40328944306448,NA,size_factor_normalized_counts
AC007036.2,2.026575904327481,tail,size_factor_normalized_counts
AC007036.3,9.647726070400196,NA,size_factor_normalized_counts
AC007038.1,49.213261125105745,mid,size_factor_normalized_counts
