x,time,contrast,delta_density,lo,hi
1.93150684931507,24 h,Dox-only,-0.000384686604348969,-0.00279817543639054,0.00208135177666503
1.93150684931507,24 h,Tam-only,0.0024453175085205,4.78890949333091e-05,0.00483132679520039
1.93150684931507,4 h,Dox-only,0.000573433294298084,-0.00171155991163513,0.00290774387578016
1.93150684931507,4 h,Tam-only,-0.000594628038004016,-0.00289059156177257,0.00170517238331906
1.97260273972603,24 h,Dox-only,-0.00014250503443014,-0.00256003084225953,0.00231079351929495
1.97260273972603,24 h,Tam-only,0.0022688956148836,-0.000143472957958949,0.00467327260022087
1.97260273972603,4 h,Dox-only,0.000737407819298958,-0.00155949395011109,0.0031233856418597
1.97260273972603,4 h,Tam-only,-0.000517148726500799,-0.00283666887524643,0.00178832094885529
2.01369863013699,24 h,Dox-only,0.000114685879525948,-0.00229371076399613,0.00259845095734332
2.01369863013699,24 h,Tam-only,0.00209222595584392,-0.000348517482309139,0.00450852583083841
2.01369863013699,4 h,Dox-only,0.000896764681633286,-0.00142358598289797,0.00328387840565908
2.01369863013699,4 h,Tam-only,-0.000423270309927323,-0.00278584173777514,0.00186395826309137
2.05479452054795,24 h,Dox-only,0.000382490088449303,-0.00208257563160659,0.00288345640281463
2.05479452054795,24 h,Tam-only,0.00191797479005288,-0.000516319538221717,0.00435624872907188
2.05479452054795,4 h,Dox-only,0.00104667140195609,-0.0012895564017889,0.0034511990575228
2.05479452054795,4 h,Tam-only,-0.000314257895822109,-0.00268075394550879,0.00193153451338952
2.0958904109589,24 h,Dox-only,0.000657275341740343,-0.00184375081907511,0.00320718801260944
2.0958904109589,24 h,Tam-only,0.00175014613416134,-0.00068415789571811,0.00418477740322532
2.0958904109589,4 h,Dox-only,0.00118462432617361,-0.00115623025152806,0.00358155121785087
2.0958904109589,4 h,Tam-only,-0.000194103336429233,-0.00256681989504213,0.00205976204987429
2.13698630136986,24 h,Dox-only,0.00093074147415402,-0.00158211487757961,0.0034715635125943
2.13698630136986,24 h,Tam-only,0.00159760820157531,-0.000855592425933775,0.00405244408875063
2.13698630136986,4 h,Dox-only,0.00131161023806055,-0.00101204275865702,0.003698065335928
2.13698630136986,4 h,Tam-only,-6.37225616406528e-05,-0.00242801601444905,0.00220698005418178
2.17808219178082,24 h,Dox-only,0.0011981307109005,-0.00131161824892238,0.00372776407354237
2.17808219178082,24 h,Tam-only,0.0014541762079016,-0.000985387574997985,0.00394098804800726
2.17808219178082,4 h,Dox-only,0.0014264715206992,-0.000908540272047486,0.0038231771621351
2.17808219178082,4 h,Tam-only,7.50145068950242e-05,-0.00232471842036705,0.00235727416937325
2.21917808219178,24 h,Dox-only,0.00145499369892425,-0.0010788142950561,0.00397779019467611
2.21917808219178,24 h,Tam-only,0.0013217786818126,-0.00112080595267135,0.00383835496043189
2.21917808219178,4 h,Dox-only,0.00152810538968594,-0.000804265013149309,0.00392616323836767
2.21917808219178,4 h,Tam-only,0.000220046210551356,-0.00217783273086378,0.00249773298690455
2.26027397260274,24 h,Dox-only,0.00169727014819701,-0.000856149182969361,0.0042245596900743
2.26027397260274,24 h,Tam-only,0.0011936364808028,-0.00123710354243897,0.00369164455291009
2.26027397260274,4 h,Dox-only,0.00161546840008109,-0.000734637053749647,0.00404848155991433
2.26027397260274,4 h,Tam-only,0.000369153989717208,-0.00204766579272942,0.00264131203799585
2.3013698630137,24 h,Dox-only,0.00192137210156025,-0.000661630527073912,0.00450427045362136
2.3013698630137,24 h,Tam-only,0.00108008137532463,-0.00134627123621336,0.00360899539457036
2.3013698630137,4 h,Dox-only,0.00168990937144926,-0.000686203239240632,0.00409208907307648
2.3013698630137,4 h,Tam-only,0.000522037996270194,-0.0018873423335805,0.00279759261295
2.34246575342466,24 h,Dox-only,0.00212425451412535,-0.000435138403659013,0.00470544930382446
2.34246575342466,24 h,Tam-only,0.000983010456940395,-0.00143899042366462,0.00352461780940886
2.34246575342466,4 h,Dox-only,0.00174276255103115,-0.000625026037794427,0.00417152482122052
2.34246575342466,4 h,Tam-only,0.000671161392434075,-0.00175235036675275,0.00299689276001826
2.38356164383562,24 h,Dox-only,0.00230446501990088,-0.000231800609672354,0.0049367721753816
2.38356164383562,24 h,Tam-only,0.000905430392433779,-0.0015095144299794,0.00344612331998567
2.38356164383562,4 h,Dox-only,0.00177775091506142,-0.000601013050817675,0.00419213903604553
2.38356164383562,4 h,Tam-only,0.000815936200630168,-0.00161823303388663,0.00316097656366274
2.42465753424658,24 h,Dox-only,0.00245295409400735,-7.78339850183673e-05,0.0051583174212413
2.42465753424658,24 h,Tam-only,0.000857275475907568,-0.00157406128625536,0.003416188107919
2.42465753424658,4 h,Dox-only,0.00179485906866557,-0.000614526716443983,0.00421627853424314
2.42465753424658,4 h,Tam-only,0.000954001283087536,-0.00146740120050415,0.00329558306706786
2.46575342465753,24 h,Dox-only,0.00257489218303868,6.36834957894697e-05,0.00529185997604089
2.46575342465753,24 h,Tam-only,0.000828495547887928,-0.00158230504501591,0.00339408744606445
2.46575342465753,4 h,Dox-only,0.00179360831573994,-0.000599360914090918,0.00422702105545544
2.46575342465753,4 h,Tam-only,0.00108309537349451,-0.0013332509559927,0.00343218590708697
2.50684931506849,24 h,Dox-only,0.00267037201481074,0.000165373383360588,0.00540722824869652
2.50684931506849,24 h,Tam-only,0.00081897342950768,-0.00162683293381091,0.00337386800775214
2.50684931506849,4 h,Dox-only,0.00177365929587615,-0.00064790935222156,0.00422113035184123
2.50684931506849,4 h,Tam-only,0.00120108731768774,-0.00123672076022648,0.00354246128218063
2.54794520547945,24 h,Dox-only,0.00274004283198527,0.000259979262176526,0.00543084556285746
2.54794520547945,24 h,Tam-only,0.000820063939206667,-0.00160606325662762,0.00338417872679445
2.54794520547945,4 h,Dox-only,0.00173482496099438,-0.000714114678256697,0.00419506506555738
2.54794520547945,4 h,Tam-only,0.00130600429077714,-0.00113630335197359,0.00366175306591201
2.58904109589041,24 h,Dox-only,0.00278505433519641,0.000260558901288323,0.00546600163657833
2.58904109589041,24 h,Tam-only,0.0008394854586454,-0.00161722613535829,0.00342031500232319
2.58904109589041,4 h,Dox-only,0.00167894303366903,-0.000769708064122094,0.00414923491195823
2.58904109589041,4 h,Tam-only,0.00139712781082223,-0.00108893073880294,0.00378668471570045
2.63013698630137,24 h,Dox-only,0.00280699622105891,0.000259161998939748,0.00551702901677556
2.63013698630137,24 h,Tam-only,0.000876135861122021,-0.00159347046935545,0.00340977738592617
2.63013698630137,4 h,Dox-only,0.00159870230527417,-0.000827172593004741,0.0040630747068285
2.63013698630137,4 h,Tam-only,0.00146690523504053,-0.00100532340358215,0.00387328359511524
