contrast_id	gene_id	direction	signed_effect	signed_score	score_for_agreement	pval	padj	baseline_expression
DT_vs_D_4h	ENSG00000001630_CYP51A1	NS	0.23105021700596495	1.8422411139531365	2.6031576141855233	NA	0.01438	8.340205832513707
DT_vs_D_4h	ENSG00000002330_BAD	NS	-0.3538548262242136	-1.7886124470631413	-2.607440094314142	NA	0.01627	4.9654524947571375
DT_vs_D_4h	ENSG00000002549_LAP3	NS	-0.00760710101022343	-1.7198771036976923	-2.544031564223028	NA	0.01906	5.8727220889182314
DT_vs_D_4h	ENSG00000002586_CD99	NS	-0.2642522359400079	-1.7169250252645285	-2.5403909163537493	NA	0.01919	6.756342460957471
DT_vs_D_4h	ENSG00000002587_HS3ST1	Up	0.7781095316910969	1.698319050706424	2.52966656147144	NA	0.02003	0.7779966762127704
DT_vs_D_4h	ENSG00000003056_M6PR	NS	0.14565251006278768	1.698102282804792	2.526155529399649	NA	0.02004	6.784235239653381
DT_vs_D_4h	ENSG00000002834_LASP1	NS	-0.2980476632883189	-1.6968039425795112	-2.505717832655927	NA	0.0201	8.229731458661181
DT_vs_D_4h	ENSG00000002822_MAD1L1	NS	0.16782193439726356	1.6931462513069913	2.5192254877606644	NA	0.02027	3.908689564081481
DT_vs_D_4h	ENSG00000002919_SNX11	NS	-0.11644733669474716	-1.6838199011065471	-2.495879038302725	NA	0.02071	3.709425542730453
DT_vs_D_4h	ENSG00000003137_CYP26B1	NS	-0.542054540877658	-1.6755117666923436	-2.4862760756680213	NA	0.02111	1.730082986526345
DT_vs_D_4h	ENSG00000003400_CASP10	Down	-0.9952785329818497	-1.6252516539898962	-2.433002864104269	NA	0.0237	3.8404329104489583
DT_vs_D_4h	ENSG00000003393_ALS2	NS	0.10729811517009936	1.6172627342386696	2.461733520004401	NA	0.024140000000000002	5.099690858032011
DT_vs_D_4h	ENSG00000003147_ICA1	NS	0.2251920896570541	1.603451962012868	2.455823311213329	NA	0.02492	4.857670786326133
DT_vs_D_4h	ENSG00000003249_DBNDD1	NS	0.0640080518538646	1.6020599913279625	2.4529000800962573	NA	0.025	5.7418417677093885
DT_vs_D_4h	ENSG00000003402_CFLAR	NS	-0.16910625469957363	-1.599807511407424	-2.406150325059147	NA	0.02513	6.742618629508127
DT_vs_D_4h	ENSG00000003509_NDUFAF7	NS	0.2142589703202744	1.5934598195660448	2.449997660602729	NA	0.0255	3.823093665702126
DT_vs_D_4h	ENSG00000003436_TFPI	NS	-0.12615951957008242	-1.5877074906769535	-2.3833831046105565	NA	0.02584	6.365929265882627
DT_vs_D_4h	ENSG00000003989_SLC7A2	NS	0.2987465185398763	1.5868679495651281	2.4442539904793867	NA	0.02589	4.241425260125187
DT_vs_D_4h	ENSG00000003756_RBM5	NS	-0.14242371357174477	-1.5841922723644568	-2.378487612604136	NA	0.02605	6.105921148689729
DT_vs_D_4h	ENSG00000004059_ARF5	NS	-0.22061022518376472	-1.5780671867214917	-2.3712495884035674	NA	0.02642	6.427222855229277
DT_vs_D_4h	ENSG00000004139_SARM1	NS	-0.28490145046480486	-1.5531522898441912	-2.3457223734263346	NA	0.02798	1.113780066308799
DT_vs_D_4h	ENSG00000004142_POLDIP2	NS	0.02503966456163109	1.5482135644757098	2.414024641485483	NA	0.0283	6.745996362230753
DT_vs_D_4h	ENSG00000004399_PLXND1	NS	-0.3725929341104137	-1.452348341640031	-2.2714284190490903	NA	0.03529	2.212295318988716
DT_vs_D_4h	ENSG00000004455_AK2	NS	0.2682588800304222	1.431680914904888	2.3525334500445765	NA	0.03701	7.589203329403756
DT_vs_D_4h	ENSG00000004478_FKBP4	NS	0.38313470940118144	1.411840383616908	2.3390184088108934	NA	0.03874	8.039013581544516
DT_vs_D_4h	ENSG00000004534_RBM6	NS	0.4492941983255738	1.356448631437055	2.284914480239138	NA	0.04401	5.002071447453676
DT_vs_D_4h	ENSG00000004487_KDM1A	NS	0.25772814292136026	1.351835221425999	2.2752395042660223	NA	0.04448	6.086112668972174
DT_vs_D_4h	ENSG00000004700_RECQL	NS	0.08436861749371172	1.3341376997968448	2.2657729279778014	NA	0.04633	4.905752679505208
DT_vs_D_4h	ENSG00000004660_CAMKK1	NS	0.2619658756505814	1.3301254975101977	2.256505149140229	NA	0.04676	4.415092435116634
DT_vs_D_4h	ENSG00000004766_VPS50	NS	-0.08406440904068013	-1.316862868516993	-2.161014680768804	NA	0.04821	4.936886037273494
DT_vs_D_4h	ENSG00000004779_NDUFAB1	NS	0.2038261904615677	1.3105135516357522	2.242068109043664	NA	0.04892	5.637551739784023
DT_vs_D_4h	ENSG00000004864_SLC25A13	NS	0.09781600918362177	1.302509112828943	2.2385308165561892	NA	0.04983	4.907153018526124
DT_vs_D_4h	ENSG00000004799_PDK4	NS	-0.658620276543556	-1.2970527538184442	-2.1435228074376536	NA	0.05046	5.413856675606738
DT_vs_D_4h	ENSG00000004961_HCCS	NS	0.2866951633704815	1.2768728412043084	2.2212518656964244	NA	0.05286	4.825680996707408
